symbol,target_net_usd,actual_net_usd,discrepancy_usd,abs_discrepancy_usd,target_gross_usd,actual_gross_usd,gross_gap_usd,under_exposed,discrepancy_blocker,purgatory,purgatory_no_locate,purgatory_borrow_band,purgatory_net_edge,purgatory_vol_ratio
ONDL,-3311.889212975424,-4428.900000000001,-1117.0107870245765,1117.0107870245765,3311.889212975424,4428.900000000001,1117.0107870245765,False,none,False,False,False,False,False
CONI,-5668.434648174105,-6656.7164999999995,-988.2818518258946,988.2818518258946,5668.434648174105,6656.7164999999995,988.2818518258946,False,none,False,False,False,False,False
GLXU,-5879.446116304823,-6863.570000000001,-984.1238836951779,984.1238836951779,5879.446116304823,6863.570000000001,984.1238836951779,False,none,False,False,False,False,False
SBTU,-1690.9318106503624,-2655.0,-964.0681893496376,964.0681893496376,1690.9318106503624,2655.0,964.0681893496376,False,none,False,False,False,False,False
OPEG,-4234.212947870334,-3288.883,945.3299478703339,945.3299478703339,4234.212947870334,3288.883,-945.3299478703339,True,none,False,False,False,False,False
SPCG,0.0,-932.76,-932.76,932.76,0.0,932.76,932.76,False,no_locate,True,True,False,False,False
CCUP,-1677.3634323583003,-2598.9500000000003,-921.5865676417,921.5865676417,1677.3634323583003,2598.9500000000003,921.5865676417,False,none,False,False,False,False,False
KEEX,-3495.7355318274463,-4410.4800000000005,-914.7444681725542,914.7444681725542,3495.7355318274463,4410.4800000000005,914.7444681725542,False,none,False,False,False,False,False
IONX,-4182.592304114835,-3276.7200000000003,905.8723041148351,905.8723041148351,4182.592304114835,3276.7200000000003,-905.8723041148351,True,none,False,False,False,False,False
FGRU,-1565.0628648936147,-2460.8304,-895.7675351063851,895.7675351063851,1565.0628648936147,2460.8304,895.7675351063851,False,borrow_band,True,False,True,False,False
CLSX,-5463.780256382416,-4619.639999999999,844.1402563824167,844.1402563824167,5463.780256382416,4619.639999999999,-844.1402563824167,True,none,False,False,False,False,False
HUTG,-6407.451454545262,-5563.7109,843.7405545452621,843.7405545452621,6407.451454545262,5563.7109,-843.7405545452621,True,none,False,False,False,False,False
DRNL,-951.298854294326,-128.766,822.5328542943261,822.5328542943261,951.298854294326,128.766,-822.5328542943261,True,none,False,False,False,False,False
IONL,-3434.077513895597,-2641.7999999999997,792.2775138955972,792.2775138955972,3434.077513895597,2641.7999999999997,-792.2775138955972,True,none,False,False,False,False,False
CONL,-1363.6785412221589,-2151.31,-787.6314587778411,787.6314587778411,1363.6785412221589,2151.31,787.6314587778411,False,none,False,False,False,False,False
UNX,-1384.5592585391396,-2153.5588000000002,-768.9995414608607,768.9995414608607,1384.5592585391396,2153.5588000000002,768.9995414608607,False,none,False,False,False,False,False
ARMG,-1765.977964290077,-1000.44,765.5379642900768,765.5379642900768,1765.977964290077,1000.44,-765.5379642900768,True,none,False,False,False,False,False
HIMZ,-3312.994010480681,-2561.52,751.474010480681,751.474010480681,3312.994010480681,2561.52,-751.474010480681,True,none,False,False,False,False,False
COZX,-1911.216941961628,-1161.43,749.7869419616279,749.7869419616279,1911.216941961628,1161.43,-749.7869419616279,True,none,False,False,False,False,False
PLU,-4282.642419616409,-4999.68,-717.0375803835914,717.0375803835914,4282.642419616409,4999.68,717.0375803835914,False,none,False,False,False,False,False
COIA,-1143.736591461862,-1841.49,-697.753408538138,697.753408538138,1143.736591461862,1841.49,697.753408538138,False,none,False,False,False,False,False
TXXD,-910.476978741259,-1606.5,-696.023021258741,696.023021258741,910.476978741259,1606.5,696.023021258741,False,none,False,False,False,False,False
OPEX,-1956.331592719415,-1265.88,690.451592719415,690.451592719415,1956.331592719415,1265.88,-690.451592719415,True,none,False,False,False,False,False
MPWX,-2301.20103951384,-2970.21,-669.00896048616,669.00896048616,2301.20103951384,2970.21,669.00896048616,False,none,False,False,False,False,False
TQQY,0.0,-657.1197000000001,-657.1197000000001,657.1197000000001,0.0,657.1197000000001,657.1197000000001,False,borrow_band,True,False,True,False,True
SSPC,-1810.1697056041305,-1168.88,641.2897056041304,641.2897056041304,1810.1697056041305,1168.88,-641.2897056041304,True,none,False,False,False,False,False
FCXG,-173.77716291251926,-779.4675000000001,-605.6903370874809,605.6903370874809,173.77716291251926,779.4675000000001,605.6903370874809,False,none,False,False,False,False,False
UECG,-2166.13838450352,-2769.6800000000003,-603.5416154964805,603.5416154964805,2166.13838450352,2769.6800000000003,603.5416154964805,False,none,False,False,False,False,False
ETHU,-1363.1198065379424,-1961.85,-598.7301934620575,598.7301934620575,1363.1198065379424,1961.85,598.7301934620575,False,none,False,False,False,False,False
AVXX,-1686.3454356612554,-2277.0,-590.6545643387446,590.6545643387446,1686.3454356612554,2277.0,590.6545643387446,False,none,False,False,False,False,False
XNDX,-10674.700608897503,-11256.57,-581.8693911024966,581.8693911024966,10674.700608897503,11256.57,581.8693911024966,False,none,False,False,False,False,False
ETHT,-998.1263040281702,-1579.2800000000002,-581.15369597183,581.15369597183,998.1263040281702,1579.2800000000002,581.15369597183,False,none,False,False,False,False,False
SHPU,-977.8440919308354,-1554.3652,-576.5211080691646,576.5211080691646,977.8440919308354,1554.3652,576.5211080691646,False,none,False,False,False,False,False
PLTA,-647.601151614189,-1190.35,-542.7488483858109,542.7488483858109,647.601151614189,1190.35,542.7488483858109,False,none,False,False,False,False,False
ETU,-1157.2241815394457,-1696.6299999999999,-539.4058184605542,539.4058184605542,1157.2241815394457,1696.6299999999999,539.4058184605542,False,none,False,False,False,False,False
XXRP,-1678.5348946500526,-2213.5620000000004,-535.0271053499478,535.0271053499478,1678.5348946500526,2213.5620000000004,535.0271053499478,False,none,False,False,False,False,False
SMCL,-2402.233772570899,-2936.395,-534.161227429101,534.161227429101,2402.233772570899,2936.395,534.161227429101,False,none,False,False,False,False,False
ASMU,-302.4626761275839,-832.0,-529.5373238724161,529.5373238724161,302.4626761275839,832.0,529.5373238724161,False,none,False,False,False,False,False
SOXS,0.0,-526.44,-526.44,526.44,0.0,526.44,526.44,False,none,False,False,False,False,False
MUZ,-2752.598687721758,-2234.75,517.8486877217579,517.8486877217579,2752.598687721758,2234.75,-517.8486877217579,True,none,False,False,False,False,False
NIOG,-235.7006356390437,-751.446,-515.7453643609563,515.7453643609563,235.7006356390437,751.446,515.7453643609563,False,none,False,False,False,False,False
APHU,-145.76889634858753,-660.9200000000001,-515.1511036514125,515.1511036514125,145.76889634858753,660.9200000000001,515.1511036514125,False,none,False,False,False,False,False
CONX,-1054.6779517343602,-1567.2308,-512.5528482656398,512.5528482656398,1054.6779517343602,1567.2308,512.5528482656398,False,none,False,False,False,False,False
DLLL,-587.6968187696816,-1098.4,-510.7031812303185,510.7031812303185,587.6968187696816,1098.4,510.7031812303185,False,none,False,False,False,False,False
PLUL,-1002.1937903836136,-1511.5572,-509.3634096163863,509.3634096163863,1002.1937903836136,1511.5572,509.3634096163863,False,borrow_band,True,False,True,False,False
SMCX,-1887.9482520901624,-2391.66,-503.7117479098374,503.7117479098374,1887.9482520901624,2391.66,503.7117479098374,False,none,False,False,False,False,False
UNHG,-45.51683399629938,-546.71,-501.19316600370064,501.19316600370064,45.51683399629938,546.71,501.19316600370064,False,none,False,False,False,False,False
OKTG,-442.41440903065535,-935.5060000000001,-493.09159096934474,493.09159096934474,442.41440903065535,935.5060000000001,493.09159096934474,False,none,False,False,False,False,False
SOUX,-852.3272382960239,-1340.88,-488.5527617039762,488.5527617039762,852.3272382960239,1340.88,488.5527617039762,False,none,False,False,False,False,False
SPXL,-70.86422936268559,-551.26,-480.3957706373144,480.3957706373144,70.86422936268559,551.26,480.3957706373144,False,none,False,False,False,False,False
