underlying,symbols,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl
CVNA,"CVNA, CVNY",22.698600640000222,-469.297457,0.0,0.0,-140.7,-23.330000000000002,0.0,0.0,0.0,-610.6288563599998
ANET,ANET,0.0,-610.803257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-610.803257
LEU,LEU,2e-07,-616.622317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-616.6223167999999
AVAV,AVAV,0.0,-645.193057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-645.193057
SHOP,SHOP,0.0,-659.419614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-659.419614
PONY,PONY,0.0,-792.870514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-792.870514
UPST,UPST,-23.91281972,-812.387633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-836.3004527200001
CEG,CEG,0.0,-902.149299,14.93,0.0,0.0,0.0,0.0,0.0,0.0,-887.2192990000001
KTOS,KTOS,0.0,-979.375657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-979.375657
SOEZ,SOEZ,0.0,-1244.733558,19.7,0.0,0.0,0.0,0.0,0.0,0.0,-1225.0335579999999
APP,APP,-2e-08,-1287.298436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1287.29843602
HIMS,"HIMS, HMYY",-63.22327532,-922.792506,0.0,0.0,-350.15,-26.330000000000002,25.93656923064634,0.0,0.0,-1336.5592120893537
MSFT,"MSFO, MSFT, MSFW",1690.03038577,-2801.432951,66.43,0.0,-264.38,-35.21,0.0,0.0,0.0,-1344.5625652299998
ONDS,ONDS,0.0,-1386.389325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1386.389325
CMG,CMG,7.1e-07,-1481.706184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1481.70618329
BABA,"BABA, BABO",306.03432316,-1708.24971,0.0,0.0,-151.56,-10.63,0.0,-1.12,0.0,-1565.52538684
HOOD,"HOOD, HOOW, HOOY",3705.1848832799997,-4672.738218,0.0,0.0,-669.09,-21.19,0.0,0.0,0.0,-1657.8333347200007
RKT,RKT,14.06518112,-2009.517102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1995.45192088
TEM,TEM,0.0,-2039.956704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2039.956704
NU,NU,-12.65884088,-2130.441115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2143.09995588
SNOW,"SNOW, SNOY",734.35125347,-2910.561622,0.0,0.0,-114.75,-12.7,0.0,0.0,0.0,-2303.66036853
CRM,CRM,0.0,-2437.055856,22.44,0.0,0.0,0.0,0.0,0.0,0.0,-2414.615856
SMR,SMR,9e-07,-2489.799279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2489.7992781
SOFI,SOFI,-33.3727942,-2721.430791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2754.8035852000003
FIG,FIG,0.0,-3368.145767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3368.145767
ETHA,ETHA,5.5848484,-3567.972573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3562.3877246
RBLX,"RBLX, RBLY",751.0320812900001,-4209.193932,0.0,0.0,-167.32,-8.18,0.0,0.0,0.0,-3633.66185071
OPEN,OPEN,-127.80801094,-3609.347723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3737.1557339399997
ASTS,ASTS,77.58961475,-3842.156119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3764.5665042500004
PLTR,"PLTR, PLTW",1165.73172504,-4896.082727,0.0,0.0,-381.96999999999997,-10.21,0.0,0.0,0.0,-4122.53100196
RCAT,RCAT,0.0,-6480.278859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6480.278859
