ticker,expense_ratio,expense_ratio_raw,source_url,ok
TSMG,0.0075,0.75%,https://etfdb.com/etf/TSMG/,True
TSMU,0.015,1.50%,https://etfdb.com/etf/TSMU/,True
TSMX,0.0105,1.05%,https://etfdb.com/etf/TSMX/,True
TSYY,0.0115,1.15%,https://etfdb.com/etf/TSYY/,True
TTDU,0.015,1.50%,https://etfdb.com/etf/TTDU/,True
UBRL,0.0115,1.15%,https://etfdb.com/etf/UBRL/,True
UNHG,0.0075,0.75%,https://etfdb.com/etf/UNHG/,True
UNX,0.013000000000000001,1.30%,https://etfdb.com/etf/UNX/,True
UPSG,0.0075,0.75%,https://etfdb.com/etf/UPSG/,True
UPSX,0.013000000000000001,1.30%,https://etfdb.com/etf/UPSX/,True
UXRP,0.0167,1.67%,https://etfdb.com/etf/UXRP/,True
VALG,0.0075,0.75%,https://etfdb.com/etf/VALG/,True
VOYX,0.013000000000000001,1.30%,https://etfdb.com/etf/VOYX/,True
VRTL,0.015,1.50%,https://etfdb.com/etf/VRTL/,True
WULX,0.013000000000000001,1.30%,https://etfdb.com/etf/WULX/,True
XBTY,0.0115,1.15%,https://etfdb.com/etf/XBTY/,True
XOMX,,,https://etfdb.com/etf/XOMX/,False
XRPK,,,https://etfdb.com/etf/XRPK/,False
XXRP,0.0189,1.89%,https://etfdb.com/etf/XXRP/,True
XYZG,,,https://etfdb.com/etf/XYZG/,False
YSPY,0.0115,1.15%,https://etfdb.com/etf/YSPY/,True
