ETF,Underlying,Beta_base,Delta,Beta_trial,Borrow_annual,CAGR,AnnVol,MaxDD,TotalReturn,TradingDays,Sharpe,Sortino,DownsideSemivar,DownsideDev
SMCY,SMCI,0.7433320274923404,0.2,0.8919984329908085,0.130638,0.13956797539096688,0.24850180095882676,-0.14970764343072474,0.20207532280953333,355,0.6468899586458805,1.2744618455691583,6.313434563529921e-05,0.1261342740895408
SNOY,SNOW,0.7919912719402386,-0.2,0.6335930175521909,0.08002,-0.16089370534771197,0.1844693499253913,-0.3702720747263901,-0.2529827820918503,419,-0.8584137826411736,-1.2406357857176091,6.46476361833775e-05,0.12763700215145735
SNOY,SNOW,0.7919912719402386,-0.1,0.7127921447462147,0.08002,-0.11071329280615216,0.1275259452753956,-0.25946030879743154,-0.17724243756802938,419,-0.85630933532342,-1.2701474005556852,2.93325400151521e-05,0.08597557841514257
SNOY,SNOW,0.7919912719402386,0.0,0.7919912719402386,0.08002,-0.07184615404756656,0.10242266630180148,-0.18254730856987433,-0.11659109417872027,419,-0.6768001271826635,-1.0261010413602374,1.8110574222187094e-05,0.067556381667398
SNOY,SNOW,0.7919912719402386,0.1,0.8711903991342624,0.08002,-0.04108563191133219,0.10651286974765135,-0.1393739332531465,-0.06737866645916446,419,-0.34098630318096584,-0.5616212416057085,1.6595504120332375e-05,0.06466890317860478
SNOY,SNOW,0.7919912719402386,0.2,0.9503895263282862,0.08002,-0.016276944607324317,0.1260630580631445,-0.14032950807263134,-0.02691741756297883,419,-0.06795656453467024,-0.12027497931818917,2.0132021459852968e-05,0.07122688683273297
TSLY,TSLA,0.7384072715592549,-0.2,0.5907258172474039,0.068134,-0.15738958243793244,0.269297796103664,-0.45955757467286595,-0.4114310962650518,780,-0.5025512467533528,-0.7961418863926567,0.00011466868183742359,0.16998972858096675
TSLY,TSLA,0.7384072715592549,-0.1,0.6645665444033294,0.068134,-0.08082838376828616,0.21245777757212245,-0.3354020835855541,-0.2296221678264302,780,-0.291711185627792,-0.4860489009865077,6.451949529906981e-05,0.12751044198560993
TSLY,TSLA,0.7384072715592549,0.0,0.7384072715592549,0.068134,-0.019050598055527224,0.18309846454559098,-0.2570833918990073,-0.057797485399409876,780,-0.014861587597954144,-0.02631448557485148,4.243356368607338e-05,0.10340821074213834
TSLY,TSLA,0.7384072715592549,0.1,0.8122479987151805,0.068134,0.03147235209766319,0.17569644765561082,-0.22720993386262756,0.10066320897060321,780,0.2626641400008211,0.49497918872603697,3.449475875290006e-05,0.09323453869532909
TSLY,TSLA,0.7384072715592549,0.2,0.8860887258711059,0.068134,0.0733343082374891,0.18273522951168336,-0.2254029693438644,0.24489343959677878,780,0.47692186959781757,0.9368477059053997,3.434001697619869e-05,0.09302518088131874
TSMY,TSM,0.7907045793513083,-0.2,0.6325636634810468,0.038828,-0.14718816318868255,0.15330733701391228,-0.29731057818647233,-0.2084561748294822,370,-0.9624641167789483,-1.5627887874921162,3.5374789106266316e-05,0.09441634845078002
TSMY,TSM,0.7907045793513083,-0.1,0.7116341214161775,0.038828,-0.07162681098300705,0.11189069938528763,-0.18496242722189393,-0.10337970621854409,370,-0.6086225981486928,-0.9830036399762168,1.904466472722177e-05,0.06927665920972147
TSMY,TSM,0.7907045793513083,0.0,0.7907045793513083,0.038828,-0.00809867702057565,0.09211095489229024,-0.10005365892682827,-0.011868335619937387,370,-0.04242670731055832,-0.0681646916292256,1.3043127377664682e-05,0.05733121400399175
TSMY,TSM,0.7907045793513083,0.1,0.8697750372864392,0.038828,0.045909940544283545,0.09134844316207597,-0.07462000213490527,0.06812620396991576,370,0.5369299131056718,0.894812040551034,1.1922664423478286e-05,0.05481342385507886
