underlying,etf,delta,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl,bucket,symbol
AMD,,,8.12925822,-595.828222,0.0,0.0,0.0,-38.1,16.498969536010595,0.0,0.0,-609.2999942439894,bucket_1,AMDG
AMD,,,9.53430936,-905.100628,0.0,0.0,0.0,-34.21,16.588044432495497,0.0,0.0,-913.1882742075046,bucket_1,AMDL
AMD,,,896.15158561,0.0,0.0,0.0,-126.77000000000001,-6.84,0.0,0.0,0.0,762.54158561,bucket_2,AMDY
AMD,,,10.33517715,-885.311133,0.0,0.0,-21.85,-25.18,16.258918847234682,0.0,0.0,-905.7470370027653,bucket_1,AMUU
AMZN,,,-249.64428376,39.494888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-210.14939576,bucket_2,AMZN
AMZN,,,-105.77840996,-627.998176,0.0,0.0,-25.91,-41.64,14.60401399622756,0.0,0.0,-786.7225719637723,bucket_1,AMZU
AMZN,,,917.96394275,0.0,0.0,0.0,-99.67,-9.91,0.0,0.0,0.0,808.3839427500001,bucket_2,AMZW
AMZN,,,708.26038009,0.0,0.0,0.0,-96.86,-8.2,0.0,0.0,0.0,603.20038009,bucket_2,AMZY
AMZN,,,-25.55673062,-932.038448,0.0,0.0,0.0,-26.68,16.704922737529916,0.0,0.0,-967.5702558824701,bucket_1,AMZZ
APH,,,0.0,60.625743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.625743,bucket_2,APH
APH,,,0.0,-59.950996,0.0,0.0,0.0,-9.99,3.4567627570446438,0.0,0.0,-66.48423324295536,bucket_1,APHU
AAPL,,,37.66504405,0.0,0.0,0.0,-116.11,-25.32,0.0,0.0,0.0,-103.76495595,bucket_2,APLY
APP,,,-2e-08,-1765.081122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1765.08112202,bucket_2,APP
APP,,,0.0,1954.583866,0.0,0.0,0.0,-22.19,3.580783473133612,0.0,0.0,1935.9746494731335,bucket_1,APPX
ACHR,,,0.0,457.612991,0.0,0.0,0.0,-13.59,2.63415403558957,0.0,0.0,446.6571450355896,bucket_1,ARCX
ARKK,,,0.0,-73.892657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-73.892657,bucket_2,ARKK
ARM,,,411.89545225,-75.230117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.66533525,bucket_2,ARM
ARM,,,0.0,60.50245,0.0,0.0,0.0,-3.41,2.6326215642521955,0.0,0.0,59.7250715642522,bucket_1,ARMG
ARM,,,-237.86817473,0.0,0.0,0.0,-140.34,-15.81,0.0,0.0,0.0,-394.01817473,bucket_2,ARMW
ASHR,,,-21.795233,-75.699602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-97.494835,bucket_2,ASHR
ASML,,,-475.27748736,0.0,0.0,0.0,0.0,-4.93,0.0,0.0,0.0,-480.20748736,bucket_1,ASMG
ASML,,,523.1782535,7.982543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531.1607965,bucket_2,ASML
ASML,,,-9.1e-07,-252.650408,0.0,0.0,-9.29,-31.6,13.192498432267058,0.0,0.0,-280.34791047773297,bucket_1,ASMU
ASTS,,,77.58961475,-1235.428662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1157.83904725,bucket_2,ASTS
ASTS,,,44.10290575,1353.757187,0.0,0.0,0.0,-55.88,15.7560766896586,0.0,0.0,1357.7361694396584,bucket_1,ASTX
AVGO,,,0.0,-1302.656894,0.0,0.0,0.0,-33.5,16.619651653828853,0.0,0.0,-1319.537242346171,bucket_1,AVGG
AVGO,,,0.0,2544.769117,34.45,0.0,0.0,0.0,0.0,0.0,0.0,2579.2191169999996,bucket_2,AVGO
AVGO,,,0.0,-969.053847,0.0,0.0,-30.49,-41.31,15.279505469294657,0.0,0.0,-1025.5743415307054,bucket_1,AVL
BA,,,0.0,-2127.270227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2127.270227,bucket_2,BA
BABA,,,-118.02802325,-2658.622973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2776.65099625,bucket_2,BABA
BABA,,,306.03432341,0.0,0.0,0.0,-151.56,-10.63,0.0,0.0,0.0,143.84432341000002,bucket_2,BABO
BABA,,,267.56998575,0.0,0.0,0.0,0.0,-5.63,0.0,0.0,0.0,261.93998575,bucket_1,BABU
BABA,,,0.0,2278.796863,0.0,0.0,0.0,-11.02,9.750540442963837,0.0,0.0,2277.527403442964,bucket_1,BABX
BBAI,,,0.0,753.582447,0.0,0.0,0.0,-2.78,12.808450168897112,0.0,0.0,763.6108971688972,bucket_1,BAIG
BBAI,,,0.0,-791.388579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-791.388579,bucket_2,BBAI
BE,,,0.0,93.975486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.975486,bucket_2,BE
