date,long_realized_pnl,long_unrealized_pnl,short_realized_pnl,short_unrealized_pnl,gross_realized_pnl,gross_unrealized_pnl,other_fees,borrow_fees,short_credit_interest,excluded_cash_interest_base,dividends,withholding_tax,pil_dividends,bond_interest,strategy_total_pnl
2026-03-27,13319.925111910003,-117410.14678800001,4517.032907840001,122723.25577899996,17836.958019749996,5313.1089910000155,0.0,-5018.870000000001,872.64,-759.1551274,398.09999999999997,0.0,-14355.92,0.0,5046.017010750002
2026-03-28,12306.15239223,-145088.348449,4737.716120650001,150375.1783060001,17043.86851288,5286.829857000004,0.0,-5167.97,872.64,-759.1551274,398.09999999999997,0.0,-14415.099999999997,0.0,4018.368369880016
2026-03-31,12306.15239223,-167119.15844800003,4745.234521230001,172063.1921920001,17051.38691346,4944.033743999986,0.0,-5707.52,872.6400000000001,-759.1551274,398.09999999999997,0.0,-14415.099999999997,0.0,3143.540657459991
2026-04-01,12306.152392229997,-118422.85844899999,4745.234521230002,132938.94217399994,17051.38691346,14516.083725000019,0.0,-5855.73,872.64,-759.1551274,431.7,0.0,-16863.51,0.0,10152.570638460005
2026-04-02,11913.9483781,-112039.003749,5780.415751580002,127006.48919699992,17694.36412968,14967.485448000021,0.0,-5992.77,872.6400000000001,-759.1551274,438.81,0.0,-16863.510000000002,0.0,11117.019577679981
2026-04-03,11913.948378100005,-101363.99775799997,5789.813752300002,119150.55419600008,17703.7621304,17786.556438,0.0,-6142.74,872.6400000000001,-759.1551274,438.81,0.0,-16863.510000000002,0.0,13795.518568400032
2026-04-04,11913.948378100002,-101363.99775799997,5789.813752300002,119150.55421000007,17703.7621304,17786.556452000033,0.0,-6142.74,872.6400000000001,-759.1551274,438.81,0.0,-16863.510000000002,0.0,13795.518582400022
2026-04-07,11913.94837739,-90568.237758,5789.813752300002,108569.76513700013,17703.76212969,18001.527379000006,0.0,-6800.59,2215.19,-4054.7053851,438.81,0.0,-16914.75,0.0,14643.949508689999
2026-04-08,11913.948378100005,-90043.65775700001,5789.8137523000005,108672.17512500005,17703.7621304,18628.517368,0.0,-6972.299999999999,2215.1899999999996,-4054.7053851,438.81,0.0,-18323.039999999997,0.0,13690.939498399996
2026-04-09,14598.004805970015,-50545.54049999999,6559.839334360001,67873.30129800006,21157.844140330002,17327.760797999996,0.0,-7146.68,2215.19,-4054.7053851,438.62,0.0,-18328.22,0.0,15664.514938330001
