date,total_pnl,pnl_bucket_1,pnl_bucket_2,pnl_bucket_3,pnl_bucket_4,pnl_bucket_5,pnl_stock_sleeves,net_capital_bucket_1,net_capital_bucket_2,net_capital_bucket_3,net_capital_bucket_4,net_capital_bucket_5,gross_capital_bucket_1,gross_capital_bucket_2,gross_capital_bucket_3,gross_capital_bucket_4,gross_capital_bucket_5,margin_req_bucket_1,margin_req_bucket_2,margin_req_bucket_3,margin_req_bucket_4,margin_req_bucket_5,net_capital_stock_sleeves,gross_capital_stock_sleeves,margin_req_stock_sleeves
2026-04-01,10152.570638459998,8938.62505442352,6664.257866698054,-6364.427148231578,914.11486557,0.0,16516.997786691576,281450.1802817997,154557.36971820027,0.0,-8169.6,0.0,1254313.2664002234,349729.24971820024,0.0,8169.6,0.0,490546.22393546323,79617.14240573606,0.0,2450.88,0.0,427837.94999999995,1612212.1161184236,572614.2463411993
2026-04-02,11117.01957768,7804.043523093305,7287.550710202109,-4888.689521185415,914.11486557,0.0,16005.709098865414,322640.724461085,160606.45553891466,0.0,-8275.199999999999,0.0,1386762.2852988783,358024.85553891474,0.0,8275.199999999999,0.0,553082.5584596934,81633.15812592668,0.0,2482.5599999999995,0.0,474971.97999999963,1753062.340837793,637198.2765856201
2026-04-03,13795.518568400003,8319.487387638846,10332.27802289816,-5770.361707707005,914.11486557,0.0,19565.880276107007,324009.02519118093,162989.03480881912,0.0,-8438.4,0.0,1406580.9655768252,355899.17480881914,0.0,8438.4,0.0,556078.0280423337,90350.74494797378,0.0,2531.52,0.0,478559.66000000003,1770918.5403856442,648960.2929903074
2026-04-07,14643.949508690004,8485.888160021412,10861.509517226805,-5617.563034128214,914.11486557,0.0,20261.51254281822,322902.7593314953,164299.8756685044,0.0,-8736.0,0.0,1424129.480311993,359997.9756685044,0.0,8736.0,0.0,571572.65177323,82263.22822524811,0.0,2620.7999999999997,0.0,478466.6349999997,1792863.4559804974,656456.6799984782
2026-04-08,13690.9394984,8365.616643851341,9888.405723005242,-5477.197734026585,914.11486557,0.0,19168.137232426583,323429.517805952,164204.1917913635,0.0,-8697.6,0.0,1425817.2003229815,358862.53179136355,0.0,8697.6,0.0,570342.1941152334,90986.72007875788,0.0,2609.28,0.0,478936.10959731555,1793377.3321143452,663938.1941939913
2026-04-09,15664.514938330001,7652.129569927157,9524.816023056566,-2426.5455202237235,914.11486557,0.0,18091.060458553726,417301.0450829086,165120.2649170924,0.0,-9484.800000000001,0.0,1737520.0485498887,370965.32491709234,0.0,9484.800000000001,0.0,687076.8220833447,129180.9977085581,0.0,2845.44,0.0,572936.5100000009,2117970.173466981,819103.2597919027
2026-04-10,16964.610236329998,6032.18663480059,10546.0977055634,-527.7889696039913,914.11486557,0.0,17492.39920593399,416351.23602851044,166121.7424330286,0.0,-9792.0,0.0,1737132.5588141975,371596.08243302855,0.0,9792.0,0.0,675141.9206794443,79834.43673551413,0.0,2937.6,0.0,572680.978461539,2118520.641247226,757913.9574149584
2026-04-14,19345.22462594,5138.877599555011,12335.228681104769,957.0034797102212,914.11486557,0.0,18388.221146229782,414688.2746578849,172018.66534211446,0.0,-10329.599999999999,0.0,1833590.5636799294,377282.70534211455,0.0,10329.599999999999,0.0,727510.8758200617,81265.19875228762,0.0,3098.8799999999997,0.0,576377.3399999994,2221202.869022044,811874.9545723493
2026-04-15,19505.48665881,3085.4469682375416,11800.638213753797,3705.286611248664,914.11486557,0.0,15800.200047561339,398973.0045448852,178948.04545511448,0.0,-10819.199999999999,0.0,1874322.9731586787,385506.7854551145,0.0,10819.199999999999,0.0,775547.9939120654,83227.70052290162,0.0,3245.7599999999998,0.0,567101.8499999997,2270648.9586137934,862021.454434967
2026-04-16,20277.46884435,-1005.1609704854432,15782.228382911317,4586.286566354129,914.11486557,0.0,15691.182277995873,470759.559184133,199116.43081586744,0.0,-10809.6,0.0,2007203.9327662583,414575.95081586746,0.0,10809.6,0.0,802977.1981757866,131547.5798097099,0.0,3242.88,0.0,659066.3900000005,2432589.483582126,937767.6579854966
2026-04-17,17777.172931229994,-7790.7317351650945,20466.316374413207,4431.233407991884,670.3548839900001,0.0,13345.939523238112,445187.4820353461,198582.97761982493,0.0,-10963.2,0.0,1970028.3018795557,416347.7976198249,0.0,10963.2,0.0,763544.7419860449,90651.30684292022,0.0,3288.96,0.0,632807.2596551711,2397339.299499381,857485.0088289651
2026-04-21,23033.980505230007,-6611.052572682497,23572.817382808116,6595.19901815323,-522.9833230488431,0.0,16438.781487076776,447987.68125807337,202296.80839104857,0.0,-11568.0,0.0,2028383.086200562,417927.4483910485,0.0,11568.0,0.0,787952.935845187,91149.70558764513,0.0,3470.4,0.0,638716.4896491219,2457878.5345916105,882573.0414328323
2026-04-22,22470.569912380004,-2945.862964151009,20793.54834322483,5638.478445263551,-1015.5939119573663,0.0,16832.091467116454,475236.27465323725,201034.48534676404,0.0,-11049.6,0.0,2067477.0325576493,415627.8653467641,0.0,11049.6,0.0,804751.8954970501,90677.66818848003,0.0,3314.88,0.0,665221.1600000013,2494154.4979044134,898744.4436855302
2026-04-23,21152.163528230005,-4938.755514047713,20180.54329925817,5238.618564648365,671.7571783711825,0.0,15913.54496358164,510345.8626030793,193532.43739692072,0.0,-11721.6,0.0,2079974.0941564466,431963.85739692074,0.0,11721.6,0.0,798642.9150782749,94254.54348654718,0.0,3516.48,0.0,692156.7000000001,2523659.5515533676,896413.9385648221
2026-04-24,20534.254860849993,-3159.2057871348943,19959.108819064542,3982.7921377246735,-248.44030880432948,0.0,16551.462723125318,576190.3232320679,183601.9567679335,0.0,-11740.800000000001,0.0,2255748.3454462145,544993.0767679337,0.0,11740.800000000001,0.0,861645.9037302053,151168.6110344254,0.0,3522.2400000000002,0.0,748051.4800000014,2812482.222214148,1016336.7547646307
2026-04-28,25559.56581829,-4365.095717525367,24224.231686175262,5415.525846650105,284.90400299,0.0,20144.039971639893,569751.5918420645,225089.64815793527,0.0,-11760.0,0.0,2410896.517607802,602009.2681579352,0.0,11760.0,0.0,929981.7724697655,166120.3660496668,0.0,3528.0,0.0,783081.2399999998,3024665.7857657373,1099630.1385194324
2026-04-29,23991.015744289998,-916.9507543341364,20345.55813361876,3901.4734810153727,660.93488399,0.0,20089.542263274627,579330.555279186,221362.84472081385,0.0,-11318.400000000001,0.0,2291238.0196289583,594451.224720814,0.0,11318.400000000001,0.0,877425.9618311737,164223.44972437643,0.0,3395.5200000000004,0.0,789374.9999999999,2897007.644349772,1045044.9315555502
2026-04-30,20998.335709290004,-1404.5942394857975,18402.24228994004,3330.332774845765,670.3548839900001,0.0,17668.00293444424,583515.1580149443,214792.86198505483,0.0,-10915.199999999999,0.0,2277740.0903436635,584635.7219850547,0.0,10915.199999999999,0.0,870977.1627130564,161664.7663221937,0.0,3274.5599999999995,0.0,787392.8199999991,2873291.0123287183,1035916.4890352502
2026-05-01,27724.00574029,3039.0125088534064,19451.28232049569,4563.356026950901,670.3548839900001,0.0,23160.6497133391,586189.1314654372,218130.8985345621,0.0,-12028.800000000001,0.0,2368590.719840345,593403.898534562,0.0,12028.800000000001,0.0,909446.468208632,164470.40572134452,0.0,3608.6400000000003,0.0,792291.2299999993,2974023.4183749068,1077525.5139299764
2026-05-04,33627.5657691,3181.772982104789,24750.1940098454,5025.2438931598135,670.3548839900001,0.0,28602.32187594019,582740.51654574,226579.6534542602,0.0,-11683.199999999999,0.0,2422273.831170984,596407.1334542602,0.0,11683.199999999999,0.0,932839.2609250521,165037.0060114571,0.0,3504.9599999999996,0.0,797636.9700000002,3030364.164625244,1101381.2269365091
2026-05-05,34172.54060155,3075.763368718824,25706.82583174818,4719.596517092994,670.3548839900001,0.0,29452.944084457005,576815.3502184773,230218.5697815229,0.0,-12307.199999999999,0.0,2442108.9240778424,599691.7697815229,0.0,12307.199999999999,0.0,942268.943464019,164865.88897214568,0.0,3692.1599999999994,0.0,794726.7200000002,3054107.8938593655,1110826.9924361645
