date,symbol,underlying,bucket,pair,type,category,amount_usd,ex_date,description
2026-03-31,ERX,XLE,bucket_1,XLE | ERX,Payment In Lieu Of Dividends,pil_dividends,-25.87,2026-03-24,ERX(US25460G6098) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-31,EWV,EWJ,bucket_3,EWJ | EWV,Payment In Lieu Of Dividends,pil_dividends,-1.46,2026-03-25,EWV(US74349Y7123) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-31,FAZ,XLF,bucket_3,XLF | FAZ,Payment In Lieu Of Dividends,pil_dividends,-26.13,2026-03-24,FAZ(US25460E2164) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-31,FBYY,META,bucket_2,META | FBYY,Payment In Lieu Of Dividends,pil_dividends,-96.1,2026-03-27,FBYY(US38747R3140) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-31,FRDU,F,bucket_1,F | FRDU,Payment In Lieu Of Dividends,pil_dividends,-23.01,2026-03-24,FRDU(US25461A2472) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-31,GGLL,GOOGL,bucket_1,GOOGL | GGLL,Payment In Lieu Of Dividends,pil_dividends,-26.67,2026-03-24,GGLL(US25461A8412) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-31,GUSH,XOP,bucket_1,XOP | GUSH,Payment In Lieu Of Dividends,pil_dividends,-19.71,2026-03-24,GUSH(US25460G5009) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-31,HOOW,HOOD,bucket_2,HOOD | HOOW,Payment In Lieu Of Dividends,pil_dividends,-44.46,2026-03-30,HOOW(US77926X6351) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-31,JNUG,GDXJ,bucket_1,GDXJ | JNUG,Payment In Lieu Of Dividends,pil_dividends,-5.98,2026-03-24,JNUG(US25460G8318) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-31,KORU,EWY,bucket_1,EWY | KORU,Payment In Lieu Of Dividends,pil_dividends,-0.23,2026-03-24,KORU(US25461A3876) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-31,LABD,XBI,bucket_3,XBI | LABD,Payment In Lieu Of Dividends,pil_dividends,-15.54,2026-03-24,LABD(US25461H8530) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-31,LMTL,LMT,bucket_1,LMT | LMTL,Payment In Lieu Of Dividends,pil_dividends,-3.09,2026-03-24,LMTL(US25461H8878) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-31,MAAY,MARA,bucket_2,MARA | MAAY,Payment In Lieu Of Dividends,pil_dividends,-336.13,2026-03-27,MAAY(US38747R2498) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-31,MEXX,EWW,bucket_1,EWW | MEXX,Payment In Lieu Of Dividends,pil_dividends,-0.71,2026-03-24,MEXX(US25460E2818) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-31,MRVU,MRVL,bucket_1,MRVL | MRVU,Payment In Lieu Of Dividends,pil_dividends,-9.19,2026-03-24,MRVU(US25461H6484) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-31,MSFU,MSFT,bucket_1,MSFT | MSFU,Payment In Lieu Of Dividends,pil_dividends,-20.68,2026-03-24,MSFU(US25461A8669) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-31,MSFW,MSFT,bucket_2,MSFT | MSFW,Payment In Lieu Of Dividends,pil_dividends,-13.38,2026-03-30,MSFW(US77926X7342) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-31,MSTW,MSTR,bucket_2,MSTR | MSTW,Payment In Lieu Of Dividends,pil_dividends,-31.51,2026-03-30,MSTW(US77926X5932) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-31,MTYY,MSTR,bucket_2,MSTR | MTYY,Payment In Lieu Of Dividends,pil_dividends,-755.55,2026-03-27,MTYY(US38747R2803) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-31,MUU,MU,bucket_1,MU | MUU,Payment In Lieu Of Dividends,pil_dividends,-14.21,2026-03-24,MUU(US25461A5285) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-31,NFLW,NFLX,bucket_2,NFLX | NFLW,Payment In Lieu Of Dividends,pil_dividends,-26.86,2026-03-30,NFLW(US77926X6435) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-31,NUGT,GDX,bucket_1,GDX | NUGT,Payment In Lieu Of Dividends,pil_dividends,-10.84,2026-03-24,NUGT(US25460G7815) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-31,NVDB,NVDA,bucket_1,NVDA | NVDB,Payment In Lieu Of Dividends,pil_dividends,-24.43,2026-03-25,NVDB(US74349Y3999) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-31,NVDU,NVDA,bucket_1,NVDA | NVDU,Payment In Lieu Of Dividends,pil_dividends,-20.49,2026-03-24,NVDU(US25461A8339) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-31,NVYY,NVDA,bucket_3,NVDA | NVYY,Payment In Lieu Of Dividends,pil_dividends,-0.69,2026-03-27,NVYY(US38747R4395) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
2026-03-31,ORCU,ORCL,bucket_1,ORCL | ORCU,Payment In Lieu Of Dividends,pil_dividends,-6.92,2026-03-24,ORCU(US25461H7961) PAYMENT IN LIEU OF DIVIDEND (Ordinary Dividend)
