run_date,underlying,ratio_source,prev_qty_b1,prev_qty_b2,prev_qty_b4,curr_qty_b1,curr_qty_b2,curr_qty_b4,ibkr_qty,orphan_qty,ratio_current_b1,ratio_current_b2,ratio_current_b4,ratio_realized_b1,ratio_realized_b2,ratio_realized_b4,ratio_unrealized_b1,ratio_unrealized_b2,ratio_unrealized_b4,ratio_carry_b1,ratio_carry_b2,ratio_carry_b4,plan_b4_frac,ledger_b2_frac,pnl_split_mode,plan_b2_usd,yieldboost_b2_override
2026-03-20,AXUP,held_exposure_eod,-101.0,0.0,0.0,-101.0,0.0,0.0,-101.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,lot_timed,0.0,False
2026-03-20,AZYY,held_exposure_eod,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,lot_timed,0.0,False
2026-03-20,BA,held_exposure,26.932881584558643,53.06711841544136,0.0,26.932881584558643,53.06711841544136,0.0,74.0,-6.0,0.496077424139445,0.503922575860555,0.0,0.496077424139445,0.503922575860555,0.0,0.33666101980698304,0.663338980193017,0.0,0.33666101980698304,0.663338980193017,0.0,0.0,0.663338980193017,lot_timed,0.0,False
2026-03-20,BABA,held_exposure,0.0,55.0,0.0,0.0,55.0,0.0,58.0,3.0,0.4796997153942691,0.5203002846057309,0.0,0.4796997153942691,0.5203002846057309,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,lot_timed,0.0,True
2026-03-20,BABO,held_exposure_eod,41.0,0.0,0.0,41.0,0.0,0.0,0.0,-41.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,lot_timed,0.0,False
2026-03-20,BABU,held_exposure_eod,-100.0,0.0,0.0,-100.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,lot_timed,0.0,False
2026-03-20,BABX,held_exposure_eod,-125.0,0.0,0.0,-125.0,0.0,0.0,-135.0,-10.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,lot_timed,0.0,False
2026-03-20,BAMI,held_exposure_eod,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,lot_timed,0.0,False
2026-03-20,BE,held_exposure,0.0,25.0,0.0,0.0,25.0,0.0,25.0,0.0,0.6775042805414856,0.0,0.32249571945851435,0.6775042805414856,0.0,0.32249571945851435,0.0,1.0,0.0,0.0,1.0,0.0,0.32249571945851435,1.0,inject_slice,0.0,False
2026-03-20,BEX,held_exposure_eod,-76.0,0.0,0.0,-76.0,0.0,0.0,-76.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,lot_timed,0.0,False
