bucket,etf,underlying,w_book,frac_sleeve
core_leveraged,ORCX,ORCL,0.0008298755245198673,0.0012294452215109144
core_leveraged,CRWL,CRWD,0.0008298755245149621,0.0012294452215036475
core_leveraged,KTUP,KTOS,0.000829875524498645,0.001229445221479474
core_leveraged,VSTL,VST,0.0008298755244665163,0.0012294452214318759
core_leveraged,IREX,IREN,0.00082987552440001,0.001229445221333348
core_leveraged,BLSG,BLSH,0.0008298755243602107,0.0012294452212743862
inverse_decay_bucket4,QBTZ,QBTS,0.0008298755243173997,0.006639004194539198
core_leveraged,MVLL,MRVL,0.0008298755242471818,0.001229445221106936
core_leveraged,LMNX,LMND,0.0008298755242352483,0.0012294452210892567
core_leveraged,SHPU,SHOP,0.0008298755240954675,0.0012294452208821741
core_leveraged,SOUX,SOUN,0.0008298755240848431,0.001229445220866434
core_leveraged,ARMG,ARM,0.0008298755240659819,0.0012294452208384916
inverse_decay_bucket4,BEZ,BE,0.0008298755240644964,0.0066390041925159715
core_leveraged,PLTG,PLTR,0.0008298755240271491,0.0012294452207809617
core_leveraged,FIGG,FIG,0.000829875523989678,0.0012294452207254488
core_leveraged,XYZG,XYZ,0.0008298755238964969,0.0012294452205874027
core_leveraged,CSEX,CLS,0.0008298755237669169,0.0012294452203954324
core_leveraged,APPX,APP,0.0008298755236248113,0.0012294452201849055
core_leveraged,CRDU,CRDO,0.0008298755235556279,0.0012294452200824115
core_leveraged,SNOU,SNOW,0.0008298755235000259,0.0012294452200000382
core_leveraged,DUOG,DUOL,0.0008298755234622712,0.0012294452199441055
core_leveraged,LINT,INTC,0.0008298755234415305,0.0012294452199133783
core_leveraged,RKTL,RKT,0.0008298755234250495,0.001229445219888962
core_leveraged,AVXX,AVAV,0.0008298755234070605,0.0012294452198623118
core_leveraged,NOWL,NOW,0.0008298755232915855,0.0012294452196912377
core_leveraged,DLLL,DELL,0.0008298755232741724,0.0012294452196654404
core_leveraged,LABX,ALAB,0.0008298755232325353,0.001229445219603756
core_leveraged,GEMG,GEMI,0.0008298755231389104,0.0012294452194650525
core_leveraged,QPUX,IONQ,0.0008298755231220188,0.0012294452194400278
core_leveraged,ORCU,ORCL,0.0008298755230810414,0.0012294452193793205
core_leveraged,LUNL,LUNR,0.0008298755230221449,0.0012294452192920665
core_leveraged,OKTG,OKTA,0.0008298755224979978,0.0012294452185155522
inverse_decay_bucket4,NBIZ,NBIS,0.000829875522440769,0.006639004179526152
core_leveraged,UNX,U,0.0008298755222243565,0.0012294452181101578
inverse_decay_bucket4,CRCD,CRCL,0.0008298755219275666,0.006639004175420533
inverse_decay_bucket4,CORD,CRWV,0.0008298755218507237,0.006639004174805789
inverse_decay_bucket4,IREZ,IREN,0.0008298755212084622,0.006639004169667698
inverse_decay_bucket4,PLTZ,PLTR,0.0008298755210540453,0.006639004168432362
inverse_decay_bucket4,BMNZ,BMNR,0.0008298755209813158,0.0066390041678505264
inverse_decay_bucket4,ETHD,ETHA,0.0008298755208374295,0.006639004166699436
inverse_decay_bucket4,ZSL,SLV,0.0008298755206188708,0.0066390041649509665
inverse_decay_bucket4,MSDD,MSTR,0.0008298755205785143,0.0066390041646281145
inverse_decay_bucket4,MSTZ,MSTR,0.0008298755203875101,0.006639004163100081
inverse_decay_bucket4,CONI,COIN,0.0008298755201768008,0.006639004161414407
