ETF,Underlying,Beta,Beta_n_obs,Beta_source,borrow_fee_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,borrow_price_ref,borrow_current_raw_annual,borrow_floor_factor,protected,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short,bucket,bucket4_net_edge_annual,inverse_shortable,borrow_annual,strategy_tag,long_usd,short_usd,underlying_target_usd,etf_target_usd,underlying_target_from_b12_usd,underlying_target_from_b4_usd,underlying_internalized_usd,underlying_external_trade_usd,sleeve
SBTU,SBET,2.02203,123,ols,0.096137,50000,0.096137,False,False,4.510000228881836,0.096137,1.0,False,True,False,False,False,False,False,False,False,1.707241,0.809203,0.84432,0.736606,0.77204,0.713066,0.6759029999999999,0.5055075,0.606609,0.5055075,0.606609,bucket_1,,False,0.096137,ETF_LS,5390.352958046424,-2665.812553743725,5390.352958046424,-2665.812553743725,5390.352958046424,0.0,-0.0,5390.352958046424,core_leveraged
SOLX,GSOL,1.971575,93,ols,,0,,False,True,9.404999732971191,,1.0,False,False,False,False,False,False,False,True,False,1.485961,0.714022,0.860144,0.708601,0.710602,0.714022,0.710602,0.49289375,1.0,0.5,1.0,bucket_1,,False,,ETF_LS,7676.469726680645,-3893.572259072389,7676.469726680645,-3893.572259072389,7676.469726680645,0.0,-0.0,7676.469726680645,core_leveraged
XRPK,XRPZ,1.960314,93,ols,,0,,False,True,8.65999984741211,,1.0,False,False,False,False,False,False,False,True,False,1.553383,0.968983,0.787475,0.58369,0.725881,0.968983,0.725881,0.4900785,1.0,0.5,1.0,bucket_1,,False,,ETF_LS,7835.002013548673,-3996.809701684869,7835.002013548673,-3996.809701684869,28444.89891716063,0.0,-0.0,28444.89891716063,core_leveraged
XRPT,XRPZ,2.015355,99,ols,,0,,False,True,45.18000030517578,,1.0,False,False,False,False,False,False,False,True,False,1.562965,0.814693,0.787475,0.634473,0.705274,0.814693,0.705274,0.50383875,1.0,0.50383875,1.0,bucket_1,,False,,ETF_LS,7601.683904459266,-3771.8833180552638,7601.683904459266,-3771.8833180552638,28444.89891716063,0.0,-0.0,28444.89891716063,core_leveraged
CHNU,CHNL,2.006972,12,ols_short_history,,0,,False,True,22.040000915527344,,1.0,False,False,False,False,False,False,False,True,False,0.932692,,0.464696,0.218206,0.218206,,0.218206,0.501743,1.0,0.501743,1.0,bucket_1,,False,,ETF_LS,2747.516370044836,-1368.98590017441,2747.516370044836,-1368.98590017441,2747.516370044836,0.0,-0.0,2747.516370044836,core_leveraged
STLU,STLR,1.839064,12,ols_short_history,,0,,False,True,21.270000457763672,,1.0,False,False,False,False,False,False,False,True,False,1.047351,,0.488366,0.184015,0.184015,,0.184015,0.459766,1.0,0.5,1.0,bucket_1,,False,,ETF_LS,2415.1057355122116,-1313.2254970529636,2415.1057355122116,-1313.2254970529636,2415.1057355122116,0.0,-0.0,2415.1057355122116,core_leveraged
GMEU,GME,1.967448,247,ols,0.374847,15000,0.374847,False,False,11.699999809265137,0.374847,1.0,False,False,True,False,False,True,True,False,False,0.877246,0.586953,0.442207,0.186102,0.579,0.2121059999999999,0.2041529999999999,0.491862,0.5902344,0.5,0.5902344,bucket_1,,False,0.374847,ETF_LS,0.0,0.0,0.0,0.0,3663.970944758101,0.0,-0.0,3663.970944758101,
APPX,APP,1.987206,246,ols,0.036251,350000,0.036251,False,False,40.54999923706055,0.036251,1.0,False,True,False,False,False,False,False,False,False,1.418261,0.644796,0.713261,0.49902,0.641325,0.608545,0.605074,0.4968015,0.5961618,0.5,0.5961618,bucket_1,,False,0.036251,ETF_LS,5890.055167262588,-2963.988216250649,5890.055167262588,-2963.988216250649,5890.055167262588,0.0,-0.0,5890.055167262588,core_leveraged
ARCX,ACHR,1.98397,215,ols,0.104375,6000,0.104375,False,False,19.8799991607666,0.104375,1.0,False,True,False,False,False,False,False,False,False,1.432887,0.676043,0.772128,0.581923,0.662224,0.571668,0.557849,0.4959925,0.595191,0.5,0.595191,bucket_1,,False,0.104375,ETF_LS,4057.6016304701357,-2045.1930374300698,4057.6016304701357,-2045.1930374300698,4057.6016304701357,0.0,-0.0,4057.6016304701357,core_leveraged
ASTX,ASTS,1.989409,194,ols,0.102818,30000,0.102818,False,False,33.119998931884766,0.102818,1.0,False,True,False,False,False,False,False,False,False,2.061202,1.185529,0.991245,0.967012,1.135235,1.082711,1.032417,0.49735225,0.5968226999999999,0.5,0.5968226999999999,bucket_1,,False,0.102818,ETF_LS,8828.199159910735,-4437.598884850091,8828.199159910735,-4437.598884850091,8828.199159910735,0.0,-0.0,8828.199159910735,core_leveraged
BEX,BE,1.980244,106,ols,0.081177,45000,0.081177,False,False,40.56499862670898,0.081177,1.0,False,True,False,False,False,False,False,False,False,2.195807,1.169769,1.022802,1.015327,1.080291,1.088592,0.9991139999999998,0.495061,0.5940732,0.5,0.5940732,bucket_1,,False,0.081177,ETF_LS,8933.37079927238,-4511.247502465545,8933.37079927238,-4511.247502465545,8933.37079927238,-42950.73377142799,8933.37079927238,-34017.36297215561,core_leveraged
CEGX,CEG,1.989659,194,ols,0.129991,3000,0.129991,False,False,16.68000030517578,0.129991,1.0,False,True,False,False,False,False,False,False,False,0.926282,0.30345,0.46317,0.21121,0.28222,0.173459,0.152229,0.49741475,0.5968977,0.5,0.5968977,bucket_1,,False,0.129991,ETF_LS,569.3558204637088,-286.15748752108215,569.3558204637088,-286.15748752108215,569.3558204637088,0.0,-0.0,569.3558204637088,core_leveraged
CLSX,CLSK,1.999017,148,ols,0.103841,75000,0.103841,False,False,16.329999923706055,0.103841,1.0,False,True,False,False,False,False,False,False,False,2.001418,1.190611,0.889245,0.789591,1.025111,1.08677,0.92127,0.49975425,0.5997051,0.5,0.5997051,bucket_1,,False,0.103841,ETF_LS,7692.71091123886,-3848.246868955521,7692.71091123886,-3848.246868955521,7692.71091123886,-107559.52971485464,7692.71091123886,-99866.81880361578,core_leveraged
COZX,CORZ,2.035706,112,ols,0.056629,30000,0.056629,False,False,14.970000267028809,0.056629,1.0,False,True,False,False,False,False,False,False,False,1.408942,0.681591,0.715903,0.540294,0.603093,0.6249619999999999,0.546464,0.5089265,0.6107117999999999,0.5089265,0.6107117999999999,bucket_1,,False,0.056629,ETF_LS,4884.374358040788,-2399.351555696544,4884.374358040788,-2399.351555696544,4884.374358040788,0.0,-0.0,4884.374358040788,core_leveraged
CRDU,CRDO,1.995855,148,ols,0.1152,250000,0.1152,False,False,48.75,0.1152,1.0,False,True,False,False,False,False,False,False,False,1.827157,0.998786,0.821204,0.670189,0.863175,0.883586,0.7479750000000001,0.49896375,0.5987564999999999,0.5,0.5987564999999999,bucket_1,,False,0.1152,ETF_LS,5737.326361355447,-2874.620832352775,5737.326361355447,-2874.620832352775,5737.326361355447,0.0,-0.0,5737.326361355447,core_leveraged
CSEX,CLS,1.997531,106,ols,0.056204,25000,0.056204,False,False,26.670000076293945,0.056204,1.0,False,True,False,False,False,False,False,False,False,1.507062,0.594366,0.672696,0.450845,0.511215,0.5381619999999999,0.4550109999999999,0.49938275,0.5992592999999999,0.5,0.5992592999999999,bucket_1,,False,0.056204,ETF_LS,3990.1186058395406,-1997.5252478382267,3990.1186058395406,-1997.5252478382267,3990.1186058395406,0.0,-0.0,3990.1186058395406,core_leveraged
CWVX,CRWV,1.989494,194,ols,0.1001399999999999,100000,0.1001399999999999,False,False,42.77999877929688,0.1001399999999999,1.0,False,True,False,False,False,False,False,False,False,1.927312,0.915558,1.078593,1.145094,0.968388,0.815418,0.868248,0.4973735,0.5968482,0.5,0.5968482,bucket_1,,False,0.1001399999999999,ETF_LS,7241.747891099239,-3639.994838435923,7241.747891099239,-3639.994838435923,23947.66311840271,-127102.37480053474,23947.66311840271,-103154.71168213204,core_leveraged
DOGD,DDOG,1.923336,172,ols,,0,,False,True,13.859999656677246,,1.0,False,False,False,False,False,False,False,True,False,1.166259,0.863659,0.546445,0.265142,0.673654,0.863659,0.673654,0.480834,1.0,0.5,1.0,bucket_1,,False,,ETF_LS,7328.9733552004645,-3810.552787032773,7328.9733552004645,-3810.552787032773,7328.9733552004645,0.0,-0.0,7328.9733552004645,core_leveraged
ENPX,ENPH,2.005341,148,ols,,0,,False,True,11.270000457763672,,1.0,False,False,False,False,False,False,False,True,False,1.600027,0.945346,0.813348,0.666844,0.830409,0.945346,0.830409,0.50133525,1.0,0.50133525,1.0,bucket_1,,False,,ETF_LS,8854.956107237596,-4415.685964251265,8854.956107237596,-4415.685964251265,8854.956107237596,0.0,-0.0,8854.956107237596,core_leveraged
FLYT,FLY,1.994868,121,ols,0.242303,15000,0.242303,False,False,32.619998931884766,0.242303,1.0,False,True,False,False,False,False,False,False,False,2.348282,1.41979,1.101229,1.203386,1.307294,1.1774870000000002,1.064991,0.498717,0.5984604,0.5,0.5984604,bucket_1,,False,0.242303,ETF_LS,6364.792599289095,-3190.5833364859704,6364.792599289095,-3190.5833364859704,6364.792599289095,0.0,-0.0,6364.792599289095,core_leveraged
GEVX,GEV,1.996931,194,ols,0.059114,9000,0.059114,False,False,66.3499984741211,0.059114,1.0,False,True,False,False,False,False,False,False,False,0.99216,0.306919,0.466665,0.216775,0.286172,0.247805,0.2270579999999999,0.49923275,0.5990793,0.5,0.5990793,bucket_1,,False,0.059114,ETF_LS,1656.4925908683629,-829.5191926352803,1656.4925908683629,-829.5191926352803,2711.2877975704896,0.0,-0.0,2711.2877975704896,core_leveraged
IREX,IREN,1.982051,121,ols,0.321555,4000,0.321555,False,False,33.9900016784668,0.321555,1.0,False,True,False,False,False,False,False,False,False,2.12849,1.312211,0.966629,0.909366,1.102796,0.990656,0.7812410000000001,0.49551275,0.5946153,0.5,0.5946153,bucket_1,,False,0.321555,ETF_LS,1949.2859364103226,-983.4691117485487,1949.2859364103226,-983.4691117485487,13964.297433132018,-24574.786791145827,13964.297433132018,-10610.489358013809,core_leveraged
JOBX,JOBY,1.980267,153,ols,0.258631,4000,0.258631,False,False,22.06999969482422,0.258631,1.0,False,True,False,False,False,False,False,False,False,1.40817,0.685667,0.801316,0.623226,0.661137,0.427036,0.402506,0.49506675,0.5940801,0.5,0.5940801,bucket_1,,False,0.258631,ETF_LS,568.4540250464532,-287.05928293833773,568.4540250464532,-287.05928293833773,568.4540250464532,0.0,-0.0,568.4540250464532,core_leveraged
LABX,ALAB,1.996981,172,ols,0.016656,100000,0.016656,False,False,36.86000061035156,0.016656,1.0,False,True,False,False,False,False,False,False,False,1.804301,0.957549,0.903566,0.812738,0.911577,0.940893,0.894921,0.49924525,0.5990943,0.5,0.5990943,bucket_1,,False,0.016656,ETF_LS,9171.402580292151,-4592.633870974312,9171.402580292151,-4592.633870974312,9171.402580292151,0.0,-0.0,9171.402580292151,core_leveraged
