ETF,Underlying,sleeve,price_pnl_usd,borrow_cost_usd,margin_cost_usd,txn_cost_usd,pnl_usd,end_weight
NVDO,NVDA,core_leveraged,-34.199431357792214,7.362105713559912,0.0986654369158522,35.130118066121206,-76.79032057438918,0.0
BAIG,BBAI,core_leveraged,435.5771111738192,112.79687979487102,13.040050440231447,385.80139963715607,-76.06121869843929,0.013617525273416751
NVDY,NVDA,core_leveraged,-42.059888607787364,15.555675275741843,0.0,16.08647940690668,-73.70204329043588,0.0
GLGG,GLXY,core_leveraged,16.182689423912713,50.0777418043378,2.300034840850229,36.12322555698764,-72.31831277826296,0.006169296108446026
RDTL,RDDT,core_leveraged,121.64050048936626,50.056184212687015,7.739287227181012,136.1458357839857,-72.30080673448745,0.005499918018263675
HOOY,HOOD,core_leveraged,-52.80838235178254,3.8899351776732365,0.0,14.317483643470363,-71.01580117292615,0.0
TQQQ,QQQ,core_leveraged,-18.36185456789817,0.9046363427487676,1.7673770835816254,48.08888866886548,-69.12275666309404,0.0005806369403672494
MARO,MARA,yieldboost,-3.5770538546759276,14.075204798608263,0.0,51.19484556461363,-68.84710421789782,0.0
QYLD,QQQ,core_leveraged,-45.63066882012539,7.4117267588382525,0.0,15.717628727702337,-68.76002430666598,0.0
MSTY,MSTR,core_leveraged,-30.94788599626687,22.324965975527657,0.0,15.328434933800926,-68.60128690559544,0.0
AMZU,AMZN,core_leveraged,-19.22744564611802,18.17660975541075,0.9983563390460165,30.15030213767782,-68.5527138782526,0.0006267673492642401
LEUX,LEU,core_leveraged,198.84498770186684,88.6325920973263,5.255135531863254,173.50325089390293,-68.54599082122564,0.00618640987561317
ALBG,ALB,core_leveraged,-57.71270955096428,1.9499922856091776,0.28470219501883826,4.211477634710462,-64.15888166630276,0.0010546035055184655
MSFO,MSFT,core_leveraged,-31.97262606592524,12.750977782778614,0.0,15.300472987535052,-60.024076836238905,0.0
MSFX,MSFT,core_leveraged,-22.4754884366467,11.915217314733646,0.6809691774750416,24.869494580371004,-59.94116950922639,0.00022668316888563812
MSFL,MSFT,core_leveraged,-36.96035086881825,1.6429596621026687,0.4437692351910492,20.822767320489795,-59.869847086601766,0.0
STXL,STX,core_leveraged,-22.74458595617591,4.948401728436359,0.9432417912601532,31.11931627975295,-59.75554575562538,0.00463004326202875
SATG,SATS,core_leveraged,57.796583620869356,48.55512815413213,3.4539100454608342,64.68992975103163,-58.902384329755236,0.0
ABNG,ABNB,core_leveraged,-32.84862031955398,10.651156945784312,0.5013426357243311,13.342389006684325,-57.34350890774695,0.0
LLYX,LLY,core_leveraged,-24.580469661531694,4.928564714441699,1.0105619249018218,26.809479830197525,-57.32907613107274,0.0006156569142806868
AALG,AAL,core_leveraged,-24.120404795077242,16.234586499045104,0.5578493739657282,15.433825656398486,-56.34666632448656,0.0
BIDG,BIDU,core_leveraged,-11.799260129248095,6.927171240542444,0.5255613178029175,35.91608648723038,-55.16807917482384,4.02943348349471e-05
LABU,XBI,core_leveraged,-16.718218922151756,12.856363500408078,0.4304746938042755,24.492549329198848,-54.49760644556296,2.1503367293843e-05
RGTX,RGTI,core_leveraged,730.2051676323799,253.43544503670412,10.283577591735986,519.3246471648616,-52.83850216092179,0.020818046382161653
CSCL,CSCO,core_leveraged,-17.840126437925903,14.346505444235108,0.3874870195473609,19.437572335267536,-52.011691236975906,0.0
GOOY,GOOGL,core_leveraged,-26.869580923621406,8.089123540785067,0.0,15.957116763946583,-50.91582122835305,0.0
OSCG,OSCR,core_leveraged,-28.909126470160754,8.274242271746449,0.3311933467263302,12.834069333907259,-50.34863142254079,0.0
XYLD,SPY,core_leveraged,-28.29363289600016,6.279946847014051,0.0,15.269855343034365,-49.84343508604858,0.0
RGTU,RGTI,core_leveraged,141.00938158586655,111.76020590459689,1.816192274037174,77.23006640786014,-49.79708300062765,0.0
RBLY,RBLX,core_leveraged,-33.72599247029101,0.42670857635063697,0.0,14.79485371386434,-48.94755476050599,0.0
LACG,LAC,core_leveraged,250.37402117652803,108.44473468997455,7.46526544698856,182.8933793832309,-48.42935834366597,0.004611839438172481
JEPI,SPY,core_leveraged,-33.20486473980561,0.0,0.0,15.176533133320046,-48.38139787312565,0.0
MULL,MU,core_leveraged,85.22964952760529,41.63507430384758,6.112888552529408,84.78671511196347,-47.30502844073517,0.0034976541309721188
ETHD,ETHA,inverse_decay_bucket4,22.85613952758732,8.74897561907491,0.0,59.91522152797458,-45.80805761946217,0.0
COPZ,COPX,core_leveraged,25.036421310423826,13.794702468794926,2.7510305890901074,54.18035710177262,-45.689668849233826,0.0033243979398647236
MPWX,MPWR,core_leveraged,-8.857368927936648,7.3844968239184015,1.7089708149991045,26.827451624505386,-44.778288191359536,0.008622305398849556
JNUG,GDXJ,core_leveraged,38.869636470820105,10.349681549467668,3.7854524273652546,68.38858588976727,-43.65408339578009,0.00242695250125264
NIOG,NIO,core_leveraged,24.08201961315283,12.960340362871392,1.3075347216651003,53.43691623905944,-43.622771710443104,0.0006147429057774469
JOBX,JOBY,core_leveraged,2.113158583482793,30.049647347175597,1.6870248871527787,13.62498352889273,-43.24849717973831,0.0026437735477652167
STXX,STX,core_leveraged,-28.647660674700518,4.087939610675857,0.7553845042106506,9.059740134687843,-42.550724924274874,0.0038975827656258953
NVDG,NVDA,core_leveraged,79.28728352336977,17.68660895805696,3.4028129920297414,99.42171478349661,-41.223853210213555,0.0006186137107271672
CHNU,CHNL,core_leveraged,3.2945940363595128,2.6482774358421053,0.9002567452425678,40.81412041305864,-41.0680605577838,0.0
NUGT,GDX,core_leveraged,43.29052533589291,3.702215689746018,3.8593937991486587,76.36446677801416,-40.63555093101593,0.001992732657483398
JEPQ,QQQ,core_leveraged,-25.048469347838736,0.0,0.0,15.130350001361506,-40.17881934920024,0.0
CONY,COIN,core_leveraged,-9.845046295509484,15.5893378533194,0.0,14.732338874618948,-40.16672302344783,0.0
