ETF,Underlying,Beta,Beta_n_obs,Beta_source,borrow_fee_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,borrow_price_ref,borrow_current_raw_annual,borrow_floor_factor,protected,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short,borrow_annual,strategy_tag,long_usd,short_usd,sleeve
MSTU,MSTR,1.966009,387,ols,0.195761,2900000,0.195761,False,False,4.114999771118164,0.195761,1.0,False,True,False,False,False,False,False,False,False,1.713251,1.078504,0.881108,0.737216,1.078504,0.8827429999999999,0.8827429999999999,0.49150225,0.5898026999999999,0.5,0.5898026999999999,0.195761,ETF_LS,8359.072184275887,-4251.797516835318,core_leveraged
NVDX,NVDA,1.99788,500,ols,0.110871,250000,0.110871,False,False,14.489999771118164,0.110871,1.0,False,True,False,False,False,False,False,False,False,0.989019,0.40997,0.494507,0.24376,0.40997,0.299099,0.299099,0.49947,0.599364,0.5,0.599364,0.110871,ETF_LS,2018.7420129574919,-1010.4420750783289,core_leveraged
TSLT,TSLA,1.992749,500,ols,0.082398,65000,0.082398,False,False,14.640000343322754,0.082398,1.0,False,True,False,False,False,False,False,False,False,1.248414,0.532823,0.626243,0.387925,0.532823,0.450425,0.450425,0.49818725,0.5978247,0.5,0.5978247,0.082398,ETF_LS,5202.8318637800485,-2610.881683433312,core_leveraged
BTCL,IBIT,2.006512,436,ols,,0,,False,True,15.739999771118164,,1.0,False,False,False,False,False,False,False,True,False,1.002308,0.425669,0.497949,0.25038,0.425669,0.425669,0.425669,0.501628,1.0,0.501628,1.0,,ETF_LS,7338.3853855222915,-3657.2845741875913,core_leveraged
ETU,ETHA,1.989787,361,ols,0.032444,900,0.032444,False,False,5.980000019073486,0.032444,1.0,False,True,False,False,False,False,False,True,False,1.515646,0.738511,0.748723,0.552027,0.738511,0.706067,0.706067,0.49744675,0.5969361,0.5,0.5969361,0.032444,ETF_LS,10640.891190325208,-5347.753900455279,core_leveraged
CCUP,CRCL,1.984484,164,ols,0.1975029999999999,300000,0.1975029999999999,False,False,4.489999771118164,0.1975029999999999,1.0,False,True,False,False,False,False,False,False,False,1.937267,0.98655,1.185049,1.371826,1.121091,0.789047,0.923588,0.496121,0.5953451999999999,0.5,0.5953451999999999,0.1975029999999999,ETF_LS,8921.77327044007,-4495.764778370635,core_leveraged
CRWU,CRWV,1.988378,174,ols,0.220744,300000,0.220744,False,False,5.304999828338623,0.220744,1.0,False,True,False,False,False,False,False,False,False,1.959744,1.113965,1.18691,1.384292,1.197638,0.893221,0.976894,0.4970945,0.5965134,0.5,0.5965134,0.220744,ETF_LS,9024.07467943317,-4538.410040461708,core_leveraged
AAPX,AAPL,1.995526,500,ols,0.135704,35000,0.135704,False,False,25.43000030517578,0.135704,1.0,False,True,False,False,False,False,False,False,False,0.568632,0.190187,0.28442,0.080353,0.190187,0.054483,0.054483,0.4988815,0.5986577999999999,0.5,0.5986577999999999,0.135704,ETF_LS,836.1951628743781,-419.03496264863406,core_leveraged
GOOX,GOOGL,1.979384,500,ols,0.016325,100000,0.016325,False,False,62.77999877929688,0.016325,1.0,False,True,False,False,False,False,False,False,False,0.598401,0.201853,0.300758,0.087677,0.201853,0.185528,0.185528,0.494846,0.5938152,0.5,0.5938152,0.016325,ETF_LS,3173.898511732251,-1603.4779061224353,core_leveraged
MSFX,MSFT,2.007331,500,ols,0.073514,25000,0.073514,False,False,15.34000015258789,0.073514,1.0,False,True,False,False,False,False,False,False,False,0.486317,0.187128,0.241548,0.058989,0.187128,0.1136139999999999,0.1136139999999999,0.50183275,0.6021993,0.50183275,0.6021993,0.073514,ETF_LS,837.8400459065641,-417.3900796164479,core_leveraged
