etf,days_in_ledger,long_pnl_usd,short_pnl_usd,gross_trading_pnl_usd,borrow_paid_usd,borrow_underlying_usd,margin_debit_allocated_usd,short_credit_usd,net_financing_allocated_usd,txn_cost_usd,turnover_usd,rebalance_days,gross_notional_mean,gross_notional_max,net_trading_pnl_usd,flow_sleeve_alloc_max_usd,flow_sleeve_alloc_days_gt0,underlying,beta_abs,bucket_universe,incumbent_cohort,from_screener_extra,pair_weight_gtp,bucket_runtime_last
LLYX,435,-7580.631591796875,12067.470258712769,4486.838666915894,1811.6695776428826,0.0,1516.211360370859,1049.5034725653052,466.7078878055536,529.0392112074557,526862.3389072418,92,62827.14753574941,185193.53204345703,1679.4219902600016,0.0,0,LLY,1.995,bucket_core_screener,post_start,1,0.006038502278478438,bucket_core_screener
UBRL,416,17993.440898895264,-13566.579510688782,4426.861388206482,792.7437125292876,0.0,1845.2173676814687,1274.5990802108474,570.6182874706212,708.5402946373424,677068.6591424942,88,81805.81757944364,283881.6282119751,2354.959093569231,0.0,0,UBER,2.0,bucket_core_screener,post_start,0,0.0058827895969452305,bucket_core_screener
TSMU,366,9526.30241394043,-5218.474603652954,4307.827810287476,1251.6905463457144,0.0,701.3176701397814,486.86240303788134,214.4552671019,252.9673032796963,248526.5670490265,78,36967.43733942313,108969.1603755951,2588.714693560165,0.0,0,TSM,1.997,bucket_core_screener,post_start,0,0.003526492336062484,bucket_core_screener
ETHD,430,0.0,4294.695592880249,4294.695592880249,999.6064021121708,0.0,0.0,130.30591756364345,-130.30591756364345,10.32819343723522,8812.262517929077,91,2980.646412348193,9136.954650878906,3415.066914894486,118.18181818181819,66,ETHA,1.992,bucket_3_inverse,post_start,1,0.0016561859961092711,bucket_3_inverse
GLXU,186,75633.0877418518,-71444.431453228,4188.65628862381,5538.193128954333,0.0,1338.1763872541437,1003.7584710821722,334.4179161719717,1285.1269177720167,1134989.1847805977,40,165482.9119802521,356384.6332359314,-2969.081674274511,0.0,0,GLXY,2.002,bucket_core_screener,post_start,0,0.004914230076502403,bucket_core_screener
COIG,282,91137.13116455078,-87069.26976966858,4067.861394882202,5947.052112818173,0.0,1325.9696051360672,951.2395804533232,374.73002468274393,901.0111721418931,887364.7491579056,60,95749.03933697389,316886.4984436035,-3154.9319147606075,0.0,0,COIN,1.999,bucket_core_screener,post_start,1,0.0009825682901578715,bucket_core_screener
MRAL,292,8964.439350605011,-5139.540395736694,3824.8989548683167,2789.7472028379398,0.0,304.65959476997057,215.90949562852649,88.75009914144407,252.14824352622793,200490.50279664993,62,21023.28180549896,62858.25074958801,694.253409362705,0.0,0,MARA,1.989,bucket_core_screener,post_start,1,0.0004539623326536982,bucket_core_screener
UPSX,224,-9391.720907211304,13044.179656982422,3652.458749771118,1461.2346153531478,0.0,675.5750283333311,496.14045507848476,179.43457325484638,428.1571588575815,400235.0005931854,48,66201.35800146205,159375.9483947754,1583.6324023055427,0.0,0,UPST,2.002,bucket_core_screener,post_start,0,0.005475491759000282,bucket_core_screener
HOOX,282,136356.6215057373,-132711.40356731415,3645.2179384231567,5447.186640584506,0.0,1413.1854352976425,1022.2976572165699,390.8877780810725,1008.3891218812115,952482.1956129074,60,102296.25144884434,335110.3158683777,-3201.245602123633,0.0,0,HOOD,2.0,bucket_core_screener,post_start,1,0.0015903757589656486,bucket_core_screener
CRWL,366,13779.5791015625,-10148.876844406128,3630.702257156372,3507.558654609375,0.0,660.2820676440377,459.93999104613545,200.34207659790226,295.9672386074,293315.28752326965,78,34832.67242363111,103535.4324874878,-373.1657126583055,0.0,0,CRWD,2.002,bucket_core_screener,post_start,0,0.0017036704015281716,bucket_core_screener
