run_date,underlying,qty_b1,qty_b2,qty_b4,ledger_total,ibkr_position,diff_ledger_minus_ibkr
2026-04-21,COZX,-352.0,0.0,0.0,-352.0,-405.0,53.0
2026-04-21,UNX,0.0,0.0,0.0,0.0,-51.0,51.0
2026-04-21,RDWU,-206.0,0.0,0.0,-206.0,-255.0,49.0
2026-04-21,DASH,48.0,0.0,0.0,48.0,0.0,48.0
2026-04-21,ASMG,47.0,0.0,0.0,47.0,0.0,47.0
2026-04-21,XXRP,-969.0,0.0,0.0,-969.0,-1016.0,47.0
2026-04-21,SQQQ,-6.0,0.0,0.0,-6.0,-53.0,47.0
2026-04-21,SNPX,0.0,0.0,0.0,0.0,-46.0,46.0
2026-04-21,CRWL,-98.0,0.0,0.0,-98.0,-52.0,-46.0
2026-04-21,NFLY,45.0,0.0,0.0,45.0,0.0,45.0
2026-04-21,NEMG,0.0,0.0,0.0,0.0,-45.0,45.0
2026-04-21,LITX,0.0,0.0,0.0,0.0,-45.0,45.0
2026-04-21,CEGX,-262.0,0.0,0.0,-262.0,-306.0,44.0
2026-04-21,SNOY,44.0,0.0,0.0,44.0,0.0,44.0
2026-04-21,VALG,-59.0,0.0,0.0,-59.0,-16.0,-43.0
2026-04-21,MSFX,-196.0,0.0,0.0,-196.0,-239.0,43.0
2026-04-21,FBY,42.0,0.0,0.0,42.0,0.0,42.0
2026-04-21,MSTU,42.0,0.0,0.0,42.0,0.0,42.0
2026-04-21,BABO,41.0,0.0,0.0,41.0,0.0,41.0
2026-04-21,GMEU,0.0,0.0,0.0,0.0,-41.0,41.0
2026-04-21,DLLL,0.0,0.0,0.0,0.0,-41.0,41.0
2026-04-21,AI,-40.0,0.0,0.0,-40.0,0.0,-40.0
2026-04-21,APLY,40.0,0.0,0.0,40.0,0.0,40.0
2026-04-21,AMZY,40.0,0.0,0.0,40.0,0.0,40.0
2026-04-21,PLTA,-311.0,0.0,0.0,-311.0,-272.0,-39.0
2026-04-21,RTXG,0.0,0.0,0.0,0.0,-39.0,39.0
2026-04-21,COTG,-322.0,0.0,0.0,-322.0,-284.0,-38.0
2026-04-21,CLSX,-245.0,0.0,0.0,-245.0,-283.0,38.0
2026-04-21,GOOY,37.0,0.0,0.0,37.0,0.0,37.0
2026-04-21,FUTG,0.0,0.0,0.0,0.0,-36.0,36.0
2026-04-21,DIA,-36.0,0.0,0.0,-36.0,0.0,-36.0
2026-04-21,WDCX,0.0,0.0,0.0,0.0,-36.0,36.0
2026-04-21,NVDY,36.0,0.0,0.0,36.0,0.0,36.0
2026-04-21,MSFO,35.0,0.0,0.0,35.0,0.0,35.0
2026-04-21,TSMY,34.0,0.0,0.0,34.0,0.0,34.0
2026-04-21,CNCG,0.0,0.0,0.0,0.0,-34.0,34.0
