date,plan_date,ETF,Underlying,sleeve,current_gross_usd,desired_gross_usd,next_gross_usd,hedge_net_pct_before,hedge_net_pct_after,target_age,requested_turnover_usd,allocated_turnover_usd,deferred_turnover_usd,block_reason,priority,hedge_repair_leg,hedge_reserve_usd,reserve_committed_usd,tracking_budget_usd,prior_structural_gross_usd,raw_plan_gross_usd,effective_plan_gross_usd,blended_structural_gross_usd,target_blend_alpha,blend_status
2026-03-04,2026-03-03,BMNU,BMNR,core_leveraged,3248.0047452144313,14094.472364543246,5505.078745649505,-0.030911103819450288,0.0,1,10846.467619328816,2257.0740004350737,8589.393618893742,,hedge,underlying,12257.381191705543,1382.0834366757927,59904.822521851915,,,,,,
2026-03-04,2026-03-03,BULG,BULL,core_leveraged,1088.3625646156158,4798.935086322244,1830.4770689569416,-0.013534284246844126,0.013783609733830478,1,3710.5725217066283,742.1145043413258,2968.4580173653026,,resize,,12257.381191705543,1382.0834366757927,59904.822521851915,,,,,,
2026-03-04,2026-03-03,COZX,CORZ,core_leveraged,2426.0094982803766,11009.424435289482,4142.692485682198,-0.01483925832741718,0.00010532183541435436,1,8583.414937009107,1716.6829874018217,6866.731949607285,,resize,,12257.381191705543,1382.0834366757927,59904.822521851915,,,,,,
2026-03-04,2026-03-03,CRMU,CRML,core_leveraged,9720.342249931866,45500.134215062135,17141.560981188166,-0.025504013408881598,0.0,1,35779.791965130265,7421.218731256301,28358.573233873965,,hedge,underlying,12257.381191705543,1382.0834366757927,59904.822521851915,,,,,,
2026-03-04,2026-03-03,DNNG,DNN,core_leveraged,9856.827519421393,45500.134215062135,16985.488858549543,-0.013705357884426804,-0.006377310492588025,1,35643.30669564075,7128.661339128149,28514.6453565126,,resize,,12257.381191705543,1382.0834366757927,59904.822521851915,,,,,,
2026-03-04,2026-03-03,ETHU,ETHA,core_leveraged,1651.6409042743805,6888.124364380381,2698.9375962955805,-0.03897323987190932,-0.005414869312191633,1,5236.483460105999,1047.2966920212,4189.186768084799,,resize,,12257.381191705543,1382.0834366757927,59904.822521851915,,,,,,
2026-03-04,2026-03-03,ETU,ETHA,core_leveraged,606.7422446546341,2215.901711687519,928.5741380612111,-0.03797614627569338,0.020065350606293563,1,1609.159467032885,321.831893406577,1287.327573626308,,resize,,12257.381191705543,1382.0834366757927,59904.822521851915,,,,,,
2026-03-04,2026-03-03,FGRU,FIGR,core_leveraged,3417.6919416827677,14984.279293271245,5819.106480716364,-0.028300106855772778,0.0,1,11566.587351588478,2401.414539033596,9165.172812554882,,hedge,underlying,12257.381191705543,1382.0834366757927,59904.822521851915,,,,,,
2026-03-04,2026-03-03,GDXU,GDX,core_leveraged,942.5626510031807,4173.8339917877665,1613.158942835852,-0.004093265785783717,0.009693459633626682,1,3231.2713407845854,670.5962918326716,2560.6750489519136,,hedge,etf,12257.381191705543,1382.0834366757927,59904.822521851915,,,,,,
2026-03-04,2026-03-03,MRNX,MRNA,core_leveraged,0.0,3562.525769061118,712.5051538122236,,2.975436395088632e-16,0,3562.525769061118,712.5051538122236,2850.0206152488945,,growth,,12257.381191705543,1382.0834366757927,59904.822521851915,,,,,,
2026-03-04,2026-03-03,RDWU,RDW,core_leveraged,5396.708663053896,24843.949597964714,9286.15685003606,-0.009780678222874926,-0.004555238957070054,1,19447.240934910817,3889.448186982164,15557.792747928652,,resize,,12257.381191705543,1382.0834366757927,59904.822521851915,,,,,,
2026-03-04,2026-03-03,RKTL,RKT,core_leveraged,8726.656832651446,41283.54818534224,15238.035103189606,-0.0011605298429763005,-0.0005318048041831824,1,32556.891352690793,6511.378270538159,26045.513082152633,,resize,,12257.381191705543,1382.0834366757927,59904.822521851915,,,,,,
2026-03-04,2026-03-03,SMUP,SMR,core_leveraged,9489.563940291964,45500.134215062135,16691.677995246,-0.0004077613435441608,-0.00018547089150327452,1,36010.57027477017,7202.114054954035,28808.456219816137,,resize,,12257.381191705543,1382.0834366757927,59904.822521851915,,,,,,
2026-03-04,2026-03-03,SOXL,SOXX,core_leveraged,595.8752031136486,2391.9765212314733,978.851386786142,-0.019219477357000532,0.00951716982812425,1,1796.101318117825,382.9761836724935,1413.1251344453315,,hedge,etf,12257.381191705543,1382.0834366757927,59904.822521851915,,,,,,
2026-03-04,2026-03-03,UECG,UEC,core_leveraged,9907.130535521192,45500.134215062135,18108.723015170955,-0.09556987993921173,0.0,1,35593.00367954094,8201.592479649764,27391.411199891176,,hedge,underlying,12257.381191705543,1382.0834366757927,59904.822521851915,,,,,,
2026-03-04,2026-03-03,URAA,URA,core_leveraged,1257.3026347920386,5671.58434078668,2140.1589759909666,-0.005177927000775476,0.014143397802405804,1,4414.281705994641,882.8563411989282,3531.425364795713,,resize,,12257.381191705543,1382.0834366757927,59904.822521851915,,,,,,
2026-03-04,2026-03-03,UXRP,XRPZ,core_leveraged,1037.5118228410142,4206.738524818465,2035.4082631282918,-0.03266222773511515,0.14584538734341,1,3169.2267019774504,997.8964402872776,2171.330261690173,,hedge,underlying,12257.381191705543,1382.0834366757927,59904.822521851915,,,,,,
2026-03-04,2026-03-03,VRTL,VRT,core_leveraged,816.0517979174929,3429.182786812674,1338.6779956965293,-0.014962197279365699,0.020429436642628203,1,2613.130988895181,522.6261977790364,2090.5047911161446,,resize,,12257.381191705543,1382.0834366757927,59904.822521851915,,,,,,
2026-03-04,2026-03-03,XRPK,XRPZ,core_leveraged,9718.455977133395,42369.269495216024,16248.618680749922,-0.036210153278593685,-0.017433480169695575,1,32650.813518082625,6530.1627036165255,26120.6508144661,,resize,,12257.381191705543,1382.0834366757927,59904.822521851915,,,,,,
2026-03-04,2026-03-03,YINN,FXI,core_leveraged,556.7545374241281,2265.9827626532197,926.434180885464,-0.004399395283832243,0.009400294492779562,1,1709.2282252290913,369.6796434613359,1339.5485817677554,,hedge,etf,12257.381191705543,1382.0834366757927,59904.822521851915,,,,,,
2026-03-05,2026-03-04,AMZU,AMZN,core_leveraged,0.0,1846.5628614133534,0.0,,,1,1846.5628614133534,0.0,1846.5628614133534,entry_confirmation,confirmation,,,,,,,,,,
2026-03-05,2026-03-04,AVL,AVGO,core_leveraged,0.0,6225.050826669689,0.0,,,1,6225.050826669689,0.0,6225.050826669689,entry_confirmation,confirmation,,,,,,,,,,
2026-03-05,2026-03-04,BOEU,BA,core_leveraged,0.0,1288.3269990097256,0.0,,,1,1288.3269990097256,0.0,1288.3269990097256,entry_confirmation,confirmation,,,,,,,,,,
2026-03-05,2026-03-04,CONX,COIN,core_leveraged,0.0,16671.03676151042,0.0,,,1,16671.03676151042,0.0,16671.03676151042,entry_confirmation,confirmation,,,,,,,,,,
2026-03-05,2026-03-04,GGLL,GOOGL,core_leveraged,0.0,2073.225418164447,0.0,,,1,2073.225418164447,0.0,2073.225418164447,entry_confirmation,confirmation,,,,,,,,,,
2026-03-05,2026-03-04,HODU,HOOD,core_leveraged,0.0,12598.324602768087,0.0,,,1,12598.324602768087,0.0,12598.324602768087,entry_confirmation,confirmation,,,,,,,,,,
