date,nav,cash,u_notional,s_notional,borrow_cost,rebalance_friction
2024-09-24,1129242.2029534678,1350236.111958552,-105399.05320443757,-115594.85580064652,27.795534155906594,0.0
2024-09-25,1128829.8532236025,1350208.3110568554,-107302.42211106398,-114076.03572218891,27.80090169648481,0.0
2024-09-26,1128728.328002882,1350180.5059520437,-107540.34322439229,-113911.83472476945,27.805104811596195,0.0
2024-09-27,1123912.3045768104,1350152.285443511,-117295.10887085265,-108944.87199584795,28.220508532492616,0.0
2024-09-30,1126705.0825412497,1350124.3284371223,-112298.76549095832,-111120.48040491444,27.95700638886408,0.0
2024-10-01,1117321.0273110268,1350095.5233816935,-129904.92787725263,-102869.56819341403,28.80505542867239,0.0
2024-10-02,1120056.2478872964,1350066.9918260456,-125622.3478373432,-104388.39610140614,28.531555648013253,0.0
2024-10-03,1113680.2709211316,1350037.8599291863,-136566.71905044507,-99790.86995760945,29.13189685937178,0.0
2024-10-04,1119515.710543031,1282461.3223718773,-67363.9078878972,-95581.70394094901,28.55677757302496,40.50448577637576
2024-10-07,1115933.1857521215,1282440.368838933,-78969.67478993193,-87537.50829687969,20.95353294418965,0.0
2024-10-08,1119272.6791152314,1282419.7171518374,-72536.04313771703,-90610.99489888892,20.651687095645272,0.0
2024-10-09,1120507.642243855,1282399.150044514,-69003.8532110108,-92887.65458964829,20.567107323228186,0.0
2024-10-10,1119811.9032776312,1203396.4599950588,-28196.87718815548,-55387.67952927215,20.609397707719204,47.36083189191343
2024-10-11,1119888.8425932785,1203385.6524602605,-27593.73543012007,-55903.07443686203,10.807534798311597,0.0
2024-10-14,1119876.4608140434,1223594.1789074617,-36700.67720744469,-67017.0408859734,10.857591525880421,12.138913771499093
2024-10-15,1119619.8076015906,1223580.8461752827,-39301.51260009826,-64659.52597359388,13.332732179073407,0.0
2024-10-16,1119857.6852192539,1242429.6867177736,-45455.58440126711,-77116.4170972525,13.323674885532315,11.32409298621759
2024-10-17,1119859.4494024927,1242413.9174770773,-44252.60107117686,-78301.86700340784,15.769240696189186,0.0
2024-10-18,1120338.4969055974,1242398.1626652617,-42104.41655315857,-79955.24920650573,15.754811815775604,0.0
2024-10-21,1120331.3114406285,1253636.3350847242,-50818.0742414434,-82486.9494026525,15.748405996923545,6.756406339079219
2024-10-22,1120269.2244412613,1253619.2357050383,-50508.20793509314,-82841.8033286839,17.099379685960223,0.0
2024-10-23,1119623.5502278346,1253602.171131106,-55362.78006791395,-78615.84083535765,17.064573932205025,0.0
2024-10-24,1120034.9362415439,1245505.750535805,-46874.45113123006,-78596.36316303113,17.04880975406592,4.844716241583329
2024-10-25,1119231.1615432114,1245489.6429269193,-51119.34362288288,-75139.13776082496,16.107608885676587,0.0
2024-10-28,1120820.5079426938,1245473.632187479,-46151.91623903383,-78501.20800575135,16.0107394404291,0.0
2024-10-29,1120599.2632125171,1236750.565913784,-42373.21130979941,-73778.09139146755,16.042792330002577,5.221081439954861
2024-10-30,1120390.2453172274,1236735.652533745,-44287.914374878754,-72057.49284163861,14.913380039092923,0.0
2024-10-31,1118835.1708536246,1236720.699820901,-51197.49500103465,-66688.03396624186,14.952712843880859,0.0
2024-11-01,1119763.5868668254,1199809.6486772108,-26783.89382362321,-53262.167986762186,14.867645258372015,22.124435437796418
2024-11-04,1119609.1675780537,1199799.2196778383,-24521.74062906044,-55668.31147072426,10.428999372616857,0.0
