date,ratio,rho,gross_frac,sleeve_equity,base_equity,put_mtm,put_cash_cum,realized_cum,redeploy_extra,combined_equity,combined_ret,drawdown
2026-01-26,0.8468799096474836,1.0,0.2,1169414.9867225518,1339298.845519617,24789.828134774332,-41536.885342719004,48336.0,3094.4449398657307,1325646.233251538,0.0005181785291195062,-0.0003406452223672085
2026-01-27,0.8506764290105554,1.0,0.2,1167258.3377821695,1337012.038052256,24741.3611420228,-41536.885342719004,48336.0,3034.871362370286,1323251.38521393,-0.0018065513841757364,-0.00214658121344502
2026-01-28,0.847150312320939,1.0,0.2,1167757.626334195,1337766.890970352,24641.263236255894,-41536.885342719004,48336.0,3052.342846040163,1323923.611709929,0.0005080111787605368,-0.0016396605219369809
2026-01-29,0.8581595879661525,1.0,0.2,1166294.5513888767,1336273.5316663303,25060.481091042922,-41536.885342719004,48336.0,3012.8897741885376,1322810.0171888429,-0.0008411320043215653,-0.002479413355317206
2026-01-30,0.8689586845661565,1.0,0.2,1164690.7074176173,1334618.083130897,25670.349292391937,-41536.885342719004,48336.0,2969.353725178211,1321720.900805748,-0.0008233354517599434,-0.003300707418162241
2026-02-02,0.8435725061762349,1.0,0.2,1171616.4678135726,1342736.4918289485,24344.466486270467,-41536.885342719004,48336.0,3173.248535752624,1328717.3215082525,0.005293417618076113,0.0
2026-02-03,0.8845208679401507,1.037673899501256,0.19510239306483673,1166907.7090840624,1337522.1874361737,26151.187517282615,-41536.885342719004,48336.0,3039.644834160943,1325176.1344448982,-0.002665116956053981,-0.002665116956053981
2026-02-04,0.9039766552376837,1.1998054603140305,0.17402529015917603,1164521.898043825,1334968.4705420968,27045.64903247679,-41536.885342719004,48336.0,2973.4266859620548,1323450.6609178167,-0.00130207108491609,-0.003963717869243655
2026-02-05,0.9697104551417954,1.7475871261816285,0.10281367359638827,1155943.7842528953,1325313.3566379435,33451.05007097904,-41536.885342719004,48336.0,2727.580126430752,1319955.1014926343,-0.002641246499327954,-0.006594495212625118
2026-02-06,1.0,2.0,0.06999999999999999,1167177.9544821603,1338373.4711144145,28770.587612507956,-41536.885342719004,48336.0,3056.4571417605403,1328663.6305259638,0.006597594890524583,-4.0408130021041266e-05
2026-02-09,0.8641115220755903,1.0,0.2,1172641.376303968,1344821.2059031704,24716.97876303061,-41536.885342719004,48336.0,3217.9343715538853,1331219.2336950358,0.0019234387924507157,0.0
2026-02-10,0.8707782990595642,1.0,0.2,1169770.5467819762,1341712.0293916555,25094.83031413819,-41536.885342719004,48336.0,3137.64864495206,1328407.6230080267,-0.0021120568392066774,-0.0021120568392066774
2026-02-11,0.8664702450348308,1.0,0.2,1170692.7272387114,1342952.7367694401,24845.68760879731,-41536.885342719004,48336.0,3167.3926571263,1329428.9316926447,0.0007688217584187473,-0.0013448588760408553
2026-02-12,0.9391068842208412,1.49255736850701,0.13596754209408868,1162089.082734894,1333264.236543002,29565.73968766731,-41536.885342719004,48336.0,2920.808044633908,1324213.898932584,-0.003922761597658919,-0.005262344912946526
2026-02-13,0.9291835954252884,1.4098632952107366,0.14671777162260424,1159066.403790373,1329975.416130488,28905.138815258102,-41536.885342719004,48336.0,2836.1189382796147,1320179.7885413067,-0.0030464190071778363,-0.008292732612559361
