etf,n_panel,n_big50,worst_abs_ret,worst_date,yahoo_ov,scale_bad_days,phantom_days,max_abs_ratio_m1,scale_mode,issue
LITZ,49,0,0.33100233701328596,2026-05-11,49,0,0,0.0,,
LLYX,476,0,0.2849639170989775,2025-04-17,476,0,0,0.006849318226599177,,
LMNX,173,1,0.6927437712175888,2025-11-05,173,0,0,3.241165393430556e-05,,jumps=1@2025-11-05
LNOK,109,0,0.36732257992783224,2026-06-10,109,0,0,2.3154459349861156e-08,,
LRCU,220,0,0.2542685469330974,2026-06-11,220,0,0,0.0,,
LUNL,114,0,0.43299486444421464,2026-06-03,114,0,0,0.0,,
MAAY,160,0,0.06324225982938281,2026-02-05,160,17,0,0.21619611844920616,,scale_bad=17
METU,516,0,0.2917377928856315,2025-04-09,516,0,0,0.055071838773171455,,
MEXX,2300,0,0.42355552940169683,2020-03-16,2300,0,0,0.0077552208575546455,,
MPG,169,0,0.25283253715793763,2025-11-07,169,0,0,7.289839319435387e-05,,
MPL,166,0,0.3756114536660986,2026-06-08,166,0,0,0.16885793919224046,,
MPWX,49,0,0.20425534269741885,2026-06-05,49,0,0,0.0001356355915724805,,
MRAL,330,0,0.43859650590449895,2026-02-06,330,0,0,0.19379950740394924,,
MRNX,98,0,0.32226786531543006,2026-03-04,98,0,0,1.5552008403751927e-05,,
MRVU,94,1,0.6511072283476358,2026-06-02,94,0,0,0.0014021863570510273,,jumps=1@2026-06-02
MSDD,251,1,0.5257705530641256,2026-02-06,0,0,0,,,short_overlap
MSFL,566,0,0.2019483397956171,2026-01-29,566,0,0,4.976774103937487e-09,,
MSFU,955,0,0.20231069096377174,2026-01-29,955,0,0,0.01860562367651175,,
MSFX,614,0,0.19820490958960546,2026-01-29,614,0,0,2.2308170533058558e-08,,
MSTP,266,1,0.533996629876401,2026-02-06,266,1,0,0.22323613541026788,,scale_bad=1;jumps=1@2026-02-06
MSTU,443,2,0.5123287223834541,2026-02-06,443,0,0,0.1884456518780464,,jumps=2@2026-02-06
MSTX,470,2,0.5209579915048752,2026-02-06,470,97,0,0.3738598724736326,,scale_bad=97;jumps=2@2026-02-06
MSTZ,443,2,0.5225644739512674,2026-02-06,443,0,0,2.399180720757954e-08,,jumps=2@2026-02-06
MTYY,192,0,0.06636097445581235,2025-11-19,192,0,0,0.19440779290593757,,
MULL,404,0,0.4472833856995926,2026-05-27,404,1,0,0.3595433999802353,,
MUU,431,0,0.4858806014950341,2026-05-27,431,0,0,0.0016650263308719548,,
MUYY,43,0,0.047807007023489945,2026-05-04,43,0,0,0.05659863592277259,,
MVLL,330,2,0.6694245372154455,2026-02-02,330,228,1,2.000000421565314,med=3.000,phantom=1;scale_bad=228;mode=med=3.000;jumps=2@2026-02-02
NBIG,170,0,0.3402114190759621,2026-07-01,170,0,0,3.560977734906601e-08,,
NBIL,180,0,0.34237448983074104,2026-06-01,180,0,0,0.0,,
NBIZ,113,0,0.34873325473692596,2026-07-01,113,0,0,9.413194623775212e-08,,
NEBX,206,1,1.795256606427095,2026-06-03,206,183,1,0.666666700070318,1/3,phantom=1;scale_bad=183;mode=1/3;jumps=1@2026-06-03
NEMG,145,0,0.2337212203310326,2026-01-30,145,0,0,2.940079716562405e-05,,
NETG,149,0,0.4719716756871404,2026-05-08,149,0,0,0.0,,
NFLU,435,0,0.2745404983006172,2026-02-27,435,0,0,2.7920930789626652e-08,,
NFXL,433,0,0.2769484855617925,2026-02-27,433,0,0,0.027253778763822734,,
NIOG,127,0,0.2832783263539942,2026-03-10,127,0,0,0.0,,
NOWL,239,1,0.5220458550825458,2026-06-01,239,0,0,3.2249857007116134e-08,,jumps=1@2026-06-01
NUG,148,0,0.1863911103447724,2026-02-26,148,0,0,6.136523982935849e-05,,
NUGT,3907,1,0.539940765530402,2020-03-16,3907,0,0,0.0014546132716446447,,jumps=1@2020-03-16
NVDB,205,0,0.15358357582308457,2026-02-06,205,0,0,0.005172320401692465,,
NVDG,386,0,0.35864303377399254,2025-04-09,386,0,0,0.06654288545948661,,
NVDL,886,0,0.3618655778881008,2023-05-25,886,0,0,0.11363390854046451,,
NVDO,205,0,0.07942723211156544,2026-02-06,6,0,0,0.0,,
NVDU,699,0,0.36229742049702107,2025-04-09,699,0,0,0.005329038092184435,,
NVDX,671,0,0.3625826968536585,2025-04-09,671,0,0,1.966338825099001e-08,,
NVOX,391,0,0.43086815413799995,2025-07-29,391,0,0,5.581122564102259e-09,,
NVTX,206,1,0.5264438227057686,2025-10-14,206,0,0,6.736028734799504e-09,,jumps=1@2025-10-14
OKLL,259,1,0.5776782002671339,2025-09-19,259,0,0,0.09867453314551988,,jumps=1@2025-09-19
OKTG,150,1,0.6060566612367371,2026-05-29,150,0,0,9.604934135598597e-06,,jumps=1@2026-05-29
ONDG,114,1,0.5114822189512809,2026-05-14,114,0,0,0.0,,jumps=1@2026-05-14
ONDL,128,1,0.5045317538258258,2026-05-14,128,0,0,0.027160488400572724,,jumps=1@2026-05-14
OPEG,135,0,0.27334577700648954,2026-01-09,135,0,0,0.06591418244005653,,
OPEX,174,0,0.42975597533431764,2025-11-10,174,0,0,3.4116913516513137e-08,,
ORCU,153,0,0.25476195720318184,2026-04-13,153,0,0,0.07909904260115863,,
ORCX,350,1,0.7131473898647909,2025-09-10,350,0,0,0.12980527903567696,,jumps=1@2025-09-10
ORLG,105,0,0.16940460540594615,2026-04-30,105,0,0,8.141654080029426e-06,,
OSCG,155,1,0.7205721075566822,2026-06-08,155,0,0,3.5923189569686542e-06,,jumps=1@2026-06-08
OSCX,182,1,0.7188494429391379,2026-06-08,182,0,0,8.162843587733448e-07,,jumps=1@2026-06-08
PAAU,71,0,0.2342787487839475,2026-05-06,71,0,0,0.00043841425322121985,,
PALU,311,0,0.2702940077997211,2025-04-09,311,0,0,0.0032031472660478677,,
PANG,317,0,0.2700634857963864,2025-04-09,317,0,0,1.2911025442652324e-05,,
PLTA,205,0,0.2330275639854641,2026-02-04,205,0,0,0.0069516180723143695,,
PLTG,293,0,0.24778760688513468,2026-02-04,293,0,0,1.9885476265635305e-08,,
PLTU,386,0,0.47105148186009904,2025-02-04,386,0,0,0.020655710189068865,,
PLTZ,266,0,0.23240146495165037,2026-02-04,266,0,0,8.181794753259197e-06,,
PLU,121,2,0.5115606829442313,2026-06-05,121,0,0,0.1327058679917279,,jumps=2@2026-06-05
PLUL,105,0,0.41753779446910966,2026-03-03,105,0,0,0.03195451391211401,,
POEL,46,3,0.8417748482264611,2026-05-14,46,0,0,0.181840106424619,,jumps=3@2026-05-14
PONX,206,0,0.375433839043003,2025-09-19,206,0,0,2.116588551115406e-05,,
PTIR,455,0,0.4724270551737788,2025-02-04,455,0,0,3.584680152712849e-08,,
PYPG,303,0,0.407701011974823,2026-02-03,303,0,0,8.009337034997621e-05,,
PYPU,53,0,0.14758746556125857,2026-05-05,53,0,0,0.007726885946883089,,
QBTX,299,3,1.0437715801631238,2025-05-08,299,0,0,0.0,,jumps=3@2025-05-08
QBTZ,186,0,0.463978218256919,2025-10-13,186,159,0,0.6666666666666667,1/3,scale_bad=159;mode=1/3
QBY,143,0,0.07575502133074485,2026-01-20,143,4,0,0.2157489690956368,,scale_bad=4
QCML,307,0,0.3588308759415606,2026-04-30,307,0,0,2.286531775030909e-08,,
QCMU,253,0,0.39749924559621497,2026-05-27,253,0,0,0.003251522762138137,,
QPUX,225,0,0.4759596938772972,2026-05-21,225,0,0,0.17742296319018824,,
QSU,161,0,0.33699133774206735,2026-06-08,161,0,0,0.16219374478650606,,
QUBX,259,1,0.5265912010662794,2025-09-19,259,0,0,7.563841109003988e-09,,jumps=1@2025-09-19
RBLU,329,0,0.36121325954395256,2026-05-01,329,0,0,2.6128062713404177e-08,,
RCAX,102,1,0.652980030060319,2026-05-28,102,0,0,3.3056302140010985e-09,,jumps=1@2026-05-28
RDTL,317,0,0.49190999414114667,2025-04-09,317,0,0,1.5509489375231666e-05,,
RDWU,100,1,1.4084159171227184,2026-05-27,100,1,0,0.2977145958582852,,scale_bad=1;jumps=1@2026-05-27
RDYY,203,0,0.11785184969866647,2026-07-01,203,0,0,0.10389384945147584,,
