date,nav,cash,long_notional,short_notional,gross_notional,net_notional,leverage,net_leverage,n_positions,n_active_pairs,cum_costs,cum_borrow,cum_margin_debit,cum_margin_credit
2025-08-06,23939556.81797989,-11153042.851047944,60164322.608052626,25071722.9390248,85236045.54707742,35092599.66902783,3.560468817161251,1.4658834303344916,78,39,125573.00272707328,57632.54742878646,80448.10394072098,871.35
2025-08-07,24383003.67824415,-11154909.869171567,60665961.38960011,25128047.842184417,85794009.23178452,35537913.547415696,3.5185988717351764,1.4574871093147792,78,39,125573.00272707328,58131.11980660758,81816.54968652206,871.35
2025-08-08,25680206.114316523,-11156786.50017716,62437997.340126015,25601004.72563231,88039002.06575832,36836992.614493705,3.4282825330080677,1.4344508159518765,78,39,125573.00272707328,58639.07624957648,83185.22424914561,871.35
2025-08-11,26175028.830189615,-11158667.075454608,63121935.326335736,25788239.42069149,88910174.74702722,37333695.905644245,3.396755561334109,1.4263096383903313,78,39,125573.00272707328,59150.74766665369,84554.12810951502,871.35
2025-08-12,27196852.355713777,-11160564.078000963,64961932.6513622,26604516.217647456,91566448.86900966,38357416.43371475,3.3668031752862935,1.4103623438488186,78,39,125573.00272707328,59678.61505192447,85923.26327060022,871.35
2025-08-13,26066841.473299786,-11162457.103001745,63621713.383993,26392414.80769147,90014128.19168447,37229298.57630153,3.453204266573139,1.4282243828595584,78,39,125573.00272707328,60202.2740758866,87292.62924742076,871.35
2025-08-14,24685175.79094428,-11164334.149760678,61425086.43637881,25575576.49567385,87000662.93205266,35849509.94070496,3.524409291991703,1.4522687723316234,78,39,125573.00272707328,60709.725990483304,88662.22409175639,871.35
2025-08-15,25147008.058362246,-11166216.45077303,62142048.165704995,25828823.65656973,87970871.82227473,36313224.50913526,3.498263953234842,1.4440375739673676,78,39,125573.00272707328,61222.20265033588,90032.04844425601,871.35
2025-08-18,25101629.46076066,-11168095.222286632,61909116.08076416,25639391.397716854,87548507.47848101,36269724.68304731,3.4877619245929226,1.444915149422663,78,39,125573.00272707328,61730.92073362391,91402.10187456933,871.35
2025-08-19,22972373.78575792,-11169946.685705902,58394006.2080909,24251685.73662712,82645691.94471802,34142320.471463785,3.597612189122375,1.4862338907540693,78,39,125573.00272707328,62212.10497443,92772.38105303198,871.35
2025-08-20,23084603.804726124,-11171800.136757815,58596876.442168824,24340472.50068488,82937348.9428537,34256403.941483945,3.5927560050163776,1.4839502653483103,78,39,125573.00272707328,62695.0508573801,94142.88622199517,871.35
2025-08-21,22639237.875327602,-11173652.328173326,58078494.84906737,24265604.64556643,82344099.4946338,33812890.20350094,3.6372293072803905,1.4935524945541767,78,39,125573.00272707328,63176.51126701435,95513.61722787198,871.35
2025-08-22,24048547.761991642,-11175530.746114926,60799956.71952957,25575878.211423,86375834.93095256,35224078.508106574,3.5917276912441354,1.4647070940299225,78,39,125573.00272707328,63683.969168034644,96884.5772684516,871.35
2025-08-25,24032381.26260271,-11177411.301012045,60881816.852032155,25672024.288417403,86553841.14044955,35209792.563614756,3.6015507658052095,1.4650979517541798,78,39,125573.00272707328,64193.334729312766,98255.76660429212,871.35
2025-08-26,24709740.653292634,-11179303.96793372,62159884.03472574,26270839.4134994,88430723.44822514,35889044.62122634,3.5787799106843936,1.4524249819046173,78,39,125573.00272707328,64714.58154307267,99627.18671220755,871.35
2025-08-27,24291631.44072425,-11181187.049606007,61248989.32582307,25776170.835492823,87025160.16131589,35472818.49033025,3.582516076520929,1.460289671234722,78,39,125573.00272707328,65226.01350409436,100998.83642347249,871.35
2025-08-28,25466991.38555554,-11183079.821874205,62903016.516872995,26252945.30944325,89155961.82631624,36650071.207429744,3.5008439150328545,1.4391205719030111,78,39,125573.00272707328,65746.90527610712,102370.71691965719,871.35
2025-08-29,24778244.64932648,-11184976.98475003,62425795.02666123,26462573.39258472,88888368.41924596,35963221.63407651,3.5873553464838404,1.451403121691837,78,39,125573.00272707328,66271.9563354838,103742.82873610659,871.35
2025-09-02,24071278.221811816,-11186876.851841018,61845345.75087874,26587190.67722589,88432536.42810462,35258155.07365285,3.6737781688706854,1.4647396265689048,78,39,125573.00272707328,66799.47996003194,105115.17220254449,871.35
2025-09-03,23825565.68347478,-11188770.437044866,61273283.13042735,26258947.00990769,87532230.14033504,35014336.12051967,3.6738783583655557,1.4696119532139935,78,39,125573.00272707328,67320.49081340313,106487.74655302305,871.35
2025-09-04,24273784.454124138,-11190660.388854861,61528654.57504528,26064209.732066266,87592864.30711155,35464444.842979014,3.6085376168951453,1.4610183636591356,78,39,125573.00272707328,67837.6378318965,107860.55134452411,871.35
2025-09-05,24017288.4711629,-11192550.493993433,61270161.287726454,26060322.32257012,87330483.61029658,35209838.96515633,3.6361508383909626,1.4660205712827288,78,39,125573.00272707328,68354.70771924908,109233.58659574295,871.35
2025-09-08,24814145.713683818,-11194463.885311324,63230797.0901552,27222187.491160054,90452984.58131525,36008609.59899515,3.6452185630325666,1.4511323506550589,78,39,125573.00272707328,68894.83048693083,110606.85514595354,871.35
2025-09-09,27090774.291894235,-11196384.586771853,65865974.3668741,27578815.488208007,93444789.85508211,38287158.87866609,3.449321486652432,1.4132914203977514,78,39,125573.00272707328,69442.02920693497,111980.35788647846,871.35
2025-09-10,27398767.216624845,-11198309.38112935,66370345.749386564,27773269.15163237,94143614.90101893,38597076.597754195,3.4360529492690124,1.4087158116491647,78,39,125573.00272707328,69993.08613454673,113354.09531636293,871.35
2025-09-11,28370909.167252,-11200254.147310425,68339061.29887724,28767897.9843148,97106959.28319204,39571163.31456244,3.422765153937356,1.3947795286109013,78,39,125573.00272707328,70563.87776121964,114728.0698707629,871.35
2025-09-12,28324015.20357231,-11202199.136459408,68293397.46125086,28767183.121219143,97060580.58247,39526214.34003171,3.4267945375989073,1.3955018049505405,78,39,125573.00272707328,71134.65520410097,116102.28157686477,871.35
2025-09-15,29504023.783862475,-11204160.795252059,70303462.85618997,29595278.277075425,99898741.13326539,40708184.57911454,3.3859361646768336,1.3797502631278482,78,39,125573.00272707328,71721.8631064239,117476.7324671911,871.35
2025-09-16,29885863.064251803,-11206128.797265187,70994874.58521277,29902882.723695766,100897757.30890854,41091991.861517,3.3761031793523184,1.3749642020768504,78,39,125573.00272707328,72315.1742715766,118851.4233151681,871.35
2025-09-17,29978221.689934883,-11208100.031175662,71239978.34458825,30053656.623477686,101293634.96806593,41186321.72111057,3.378907395366785,1.3738747463775938,78,39,125573.00272707328,72911.47698235989,120226.35451485962,871.35
2025-09-18,31173051.698177114,-11210091.355153622,73437101.89312933,31053958.83979856,104491060.73292789,42383143.05333078,3.3519676464347614,1.3596084035561136,78,39,125573.00272707328,73527.62695934002,121601.52851583906,871.35
2025-09-19,32279310.36639577,-11212107.271615326,75772449.34665416,32281031.708643004,108053481.05529717,43491417.63801116,3.347453208535265,1.347346555559864,78,39,125573.00272707328,74168.1236202258,122976.94831665755,871.35
2025-09-22,32212665.29419042,-11214126.62541593,75868656.07357456,32441864.15396819,108310520.22754274,43426791.91960637,3.3623582289254603,1.3481278721583596,78,39,125573.00272707328,74811.8114010585,124352.61433642836,871.35
2025-09-23,32522922.070879016,-11216155.283639338,76637417.80462778,32898340.45010942,109535758.2547372,43739077.354518354,3.3679556226842045,1.344869235894467,78,39,125573.00272707328,75464.55625125908,125728.52770963582,871.35
2025-09-24,32055856.21825961,-11218186.825439254,76305231.41628022,33031188.372581355,109336419.78886157,43274043.04369887,3.410809527108545,1.3499574851177794,78,39,125573.00272707328,76119.93697293728,127104.68878787318,871.35
2025-09-25,30406541.914125044,-11220202.958829943,73868959.77556399,32242214.902609017,106111174.678173,41626744.872954965,3.4897481922756945,1.3690062155215912,78,39,125573.00272707328,76759.66345910016,128481.09569239964,871.35
2025-09-26,31170854.561440922,-11222238.425661162,75597204.8385909,33204111.851488803,108801316.6900797,42393092.987102106,3.490482318205978,1.3600234444500394,78,39,125573.00272707328,77418.47520218526,129857.7507805334,871.35
2025-09-29,33258407.46645358,-11224309.54966161,79471222.6207861,34988505.604670934,114459728.22545704,44482717.016115166,3.441527629995753,1.3374878836571804,78,39,125573.00272707328,78112.69158323032,131234.658399938,871.35
2025-09-30,33569979.83522738,-11226384.112279898,79945427.18392888,35149063.236421645,115094490.42035052,44796363.94750723,3.4284944758761413,1.334417362398866,78,39,125573.00272707328,78810.09363157202,132611.81896988262,871.35
2025-10-01,34447350.439681254,-11228474.616883827,81615517.69471018,35939692.63814512,117555210.3328553,45675825.05656506,3.41260528988142,1.325960472244312,78,39,125573.00272707328,79523.18277121775,133989.23443416684,871.35
2025-10-02,36748505.174559966,-11230595.056712043,85414497.53922996,37435397.307957985,122849894.84718794,47979100.231271975,3.342990259430572,1.3056068540302601,78,39,125573.00272707328,80265.94859082009,135366.90844277985,871.35
2025-10-03,36869344.35064821,-11232716.802295655,85590229.87454963,37488168.721605785,123078398.5961554,48102061.15294384,3.3382312803181575,1.3046627760848193,78,39,125573.00272707328,81009.76146228053,136744.84115493184,871.35
2025-10-06,35262344.13427488,-11234809.60421581,82513701.02948727,36016547.29099658,118530248.32048385,46497153.738490686,3.3613831193165873,1.3186064307419543,78,39,125573.00272707328,81724.37549583205,138123.0290415342,871.35
