etf,underlying,n_obs_decay,n_obs_beta,mu_used,sigma_eff,w_pre,q_prior,haircut_factor,ema_applied,prev_w_book
GLGG,GLXY,221.0,176.0,0.2348137904547702,0.14851916605255377,0.5533617568933042,0.0037350815178108106,0.876984126984127,True,0.0010704951345127391
HOOG,HOOD,479.0,281.0,0.26380430478497807,0.099591749463664,0.9270999572954527,0.005268799810127813,1.0,True,0.0019493878663310689
LULG,LULU,479.0,123.0,-0.5002897506997732,0.16741678762995776,0.0,0.0,1.0,True,0.0
MPG,MP,479.0,130.0,0.26650371639943177,0.12716570677905953,0.7335020038213714,0.004507075779031178,1.0,True,0.0015575601572301544
NBIG,NBIS,363.0,130.0,0.8178051694708182,0.12090045561780463,2.3674998398652343,0.009843600111911922,1.0,True,0.03437612525692631
NVDG,NVDA,479.0,346.0,0.10069124515840641,0.082479399023617,0.4272816754563298,0.003143669167457185,1.0,True,0.0005538681411928484
PANG,PANW,479.0,281.0,0.06675270147116255,0.08164951522359547,0.2861431014125019,0.002406298555480915,1.0,True,0.000335304801198451
PLTG,PLTR,479.0,257.0,0.11047549239129266,0.11812550927640715,0.32733338102674453,0.0026320099166024687,1.0,True,0.0004371579697475588
TSLG,TSLA,479.0,346.0,0.08158552735388815,0.08979635874480335,0.3179965755071707,0.0025817188898876148,1.0,True,0.000389501750424294
TSMG,TSM,479.0,327.0,0.08886471288507185,0.08501348036715972,0.3658555016857061,0.002834656138932377,1.0,True,0.0004578501296643644
UNHG,UNH,479.0,198.0,0.06421226191226555,0.102815678101319,0.21858817725391846,0.002010844261484749,1.0,True,0.00025428100316580575
XYZG,XYZ,479.0,271.0,0.15907986997914905,0.11132801496262094,0.5001252785419409,0.0034915092304205627,1.0,True,0.000771864949969453
NVDB,NVDA,479.0,163.0,0.059645307698888844,0.08402670435942103,0.24844313309391988,0.0021900060871742014,1.0,True,0.00028504267864789363
PLTA,PLTR,479.0,163.0,0.19870631293761246,0.08610584748376116,0.8076943849984216,0.004806091478165813,1.0,True,0.0014003430662037632
TSLI,TSLA,479.0,163.0,0.17409170052649786,0.07887838317786133,0.7724815434778836,0.00466536970486898,1.0,True,0.0012445846191380177
COIA,COIN,479.0,163.0,0.37754089415595127,0.0985799771555268,1.3404275063495958,0.0067368396614858736,1.0,True,0.003933250203571536
BITU,IBIT,479.0,500.0,0.1479567374364543,0.07301989067273439,0.7091883817637028,0.004406918969112844,1.0,True,0.0010572195460631499
ETHT,ETHA,426.0,447.0,0.42203760397772083,0.08943052440974342,1.6517085454561977,0.007743124949770844,1.0,True,0.005504446186162876
TSLR,TSLA,479.0,500.0,0.14658433862851117,0.07571959264840206,0.677559357169384,0.00427489601543814,1.0,True,0.0010063181338174367
AMDL,AMD,479.0,500.0,0.2855990263401865,0.0743693466861,1.3440975841965845,0.0067491309923801346,1.0,True,0.003004805143028246
AMZZ,AMZN,479.0,500.0,0.08190734148902605,0.07301989067273439,0.39259945827149234,0.0029711673980379015,1.0,True,0.0004811707443788684
AVGU,AVGO,479.0,203.0,0.0395208410699942,0.09296163545710812,0.1487957296198828,0.0015560407583103083,1.0,True,0.00016079468844681154
BABX,BABA,479.0,500.0,0.1961457708979521,0.07301989067273439,0.9401687565100328,0.005318198380967561,1.0,True,0.0016159409339848423
BULX,BULL,479.0,168.0,0.2172997566014307,0.11299016383936347,0.6731109348476292,0.0042561646555731945,1.0,True,0.0012346083829536413
CONL,COIN,479.0,500.0,0.38227221001830336,0.08559789773257916,1.563067283783101,0.007463555598594852,1.0,True,0.004638711757205758
CRWL,CRWD,479.0,368.0,0.03650456727403365,0.08418386379436021,0.15177016081278666,0.0015767091449028184,1.0,True,0.000162529064912053
DLLL,DELL,479.0,305.0,0.0793401843069306,0.11702918230906124,0.2372832481567773,0.0021239227142999394,1.0,True,0.00028880525155782844
ETRL,ETOR,224.0,168.0,0.09698743432687759,0.10424545292936266,0.3256314885735006,0.0026228789843166355,0.8888888888888888,True,0.0004176683603250457
INTW,INTC,479.0,306.0,0.3696462059337521,0.08859860045001366,1.4602507423331796,0.0071325629634974,1.0,True,0.004180586116929927
IONL,IONQ,479.0,278.0,0.4237141876727203,0.12636542309515508,1.1735802567904985,0.006165512560257725,1.0,True,0.0039551701747429025
MRAL,MARA,479.0,291.0,0.08233701721497261,0.1420091815536928,0.20293023105935243,0.0019136322888239582,1.0,True,0.0002492641935427789
FBL,META,479.0,500.0,0.1170341406767362,0.07301989067273439,0.5609697420726604,0.003769238467889984,1.0,True,0.000763083481533962
MVLL,MRVL,479.0,291.0,0.13958026154966247,0.10067865127076908,0.48523784263849995,0.003421872044855205,1.0,True,0.0007064174888050546
MSTP,MSTR,479.0,226.0,-0.1898744955587518,0.18287181769595084,0.0,0.0,1.0,True,0.0
MULL,MU,479.0,368.0,0.27066369079137176,0.09347637845161984,1.013435622412461,0.005591024999634857,1.0,True,0.0021734304099981193
NBIL,NBIS,363.0,144.0,0.7687012735225689,0.10980448227482945,2.450222797458356,0.010071582345536099,1.0,True,0.021656973589249343
NOWL,NOW,479.0,203.0,0.07514366693217805,0.11255271275517043,0.23367080883667232,0.002102311010703085,1.0,True,0.0002808583999427259
NVDL,NVDA,479.0,500.0,0.07178118133589535,0.0750557425915922,0.3347300632846941,0.0026715120458197625,1.0,True,0.00039810005645899565
PTIR,PLTR,479.0,417.0,0.2723496480260137,0.08211655764474199,1.1608179829151468,0.006120732627622005,1.0,True,0.0024987921796357656
RDTL,RDDT,479.0,279.0,0.3093171967911691,0.10769152426066919,1.0052882027638639,0.005561019027356783,1.0,True,0.0024186271157589424
SMCL,SMCI,479.0,345.0,0.06142391458198096,0.3248908203362999,0.06617106042405264,0.0009065798318285834,1.0,True,7.639071812852148e-05
TSMU,TSM,479.0,368.0,0.08030708182659846,0.07395166112836665,0.3800790707124209,0.002907657804259899,1.0,True,0.00046362328782889
UBRL,UBER,479.0,417.0,0.12896400361796495,0.07301989067273439,0.618152134308002,0.0040212175786122056,1.0,True,0.0008710424142459595
VRTL,VRT,479.0,279.0,0.2146839526716932,0.10423885404794875,0.7208385406897251,0.0044550507550936945,1.0,True,0.0013115547745385077
COYY,COIN,479.0,193.0,0.37206943632985867,0.24930004410053577,0.5223597259490844,0.02337530733573136,1.0,True,0.0128526700517418
IOYY,IONQ,479.0,124.0,0.5926066944842076,0.26535583080425484,0.7816385358514114,0.03058075343040965,1.0,True,0.03933883812854717
MAAY,MARA,479.0,124.0,0.5729627896025853,0.24869713312505784,0.806350173164499,0.031221947929556727,1.0,True,0.03840494580841816
FBYY,META,479.0,133.0,0.40896458880004594,0.22835535683184677,0.6268195678256754,0.02639606787869728,1.0,True,0.01694811182408882
MTYY,MSTR,479.0,154.0,0.5268152234296178,0.26215984416513377,0.7033316974518128,0.02850259048251083,1.0,True,0.030147545906565987
SMYY,SMCI,479.0,149.0,0.5259728418098171,0.27152227942055723,0.6779940674713497,0.02781387308082776,1.0,True,0.029109334343584994
XBTY,IBIT,479.0,245.0,0.5034327013497057,0.2095203813519202,0.8409752041088587,0.03210945986226642,1.0,True,0.03319855393705305
MSTZ,MSTR,479.0,405.0,0.6037681077438178,0.3815586370077607,0.5538305707545499,0.01312776179007171,1.0,True,0.005045145082524664
CONI,COIN,479.0,417.0,0.528876145905843,0.4054560473911004,0.4565393764826309,0.011541393067515624,1.0,True,0.007716771102624579
MSDD,MSTR,479.0,225.0,0.8889242577703105,0.3479374193417685,0.8941938202800815,0.018067324604887674,1.0,True,0.019954854976759882
ETHD,ETHA,426.0,447.0,1.091930516281309,0.2776095867659333,1.3766660047683794,0.024089352681551445,1.0,True,0.025000000107004518
CORD,CRWV,255.0,151.0,1.2572696955167006,0.7261363010631656,0.6060079805768673,0.013939856408589135,1.0,True,0.02500000009412448
QBTZ,QBTS,479.0,144.0,2.364061938785431,0.5057721038759462,1.635957523623817,0.02702635145742764,1.0,True,0.025000000154022685
PLTZ,PLTR,479.0,228.0,0.5773543754002757,0.24312271177557493,0.8311606509910509,0.017207959989956785,1.0,True,0.01728322848293919
SMCZ,SMCI,479.0,273.0,-7.15427824527838,0.781046985837608,0.0,0.0,1.0,True,0.0
