bucket,etf,underlying,w_book,frac_sleeve,n_obs_decay,n_obs_beta,mu_used,sigma_eff,w_pre,q_prior,prev_w_book,delta_w_book,haircut_factor,ema_applied
core_leveraged,QSU,QS,0.0021728790420659297,0.003219080062319896,479.0,134.0,0.2839519373685207,0.13253788250891674,0.7498473357026513,0.004405008860505626,0.002744023193413976,-0.0005711441513480465,1.0,True
core_leveraged,RBLU,RBLX,0.002167996863529891,0.003211847205229468,479.0,294.0,0.24114376900405485,0.09751890798681107,0.8654764588097511,0.004940520568545604,0.005585175775831973,-0.003417178912302082,1.0,True
core_leveraged,BABX,BABA,0.0020457020000566066,0.003030669629713491,479.0,500.0,0.1961457708979521,0.07301989067273439,0.9401687565100328,0.0052787750568950645,0.00813404215600574,-0.006088340155949134,1.0,True
core_leveraged,MPG,MP,0.0020267923653187942,0.003002655356027843,479.0,130.0,0.26650371639943177,0.12716570677905953,0.7335020038213714,0.004328022878429904,0.0026797864608384056,-0.0006529940955196114,1.0,True
core_leveraged,SNOU,SNOW,0.0018750005325376276,0.002777778566722411,479.0,258.0,0.24240343285032315,0.11848801320067584,0.7160319361075181,0.0042453589720856805,0.005969005140417872,-0.0040940046078802445,1.0,True
core_leveraged,SOFX,SOFI,0.0018551821411923557,0.002748417986951638,479.0,325.0,0.19785519572999327,0.08236777963481919,0.8407330974868721,0.00482719696736418,0.0045850506121797975,-0.0027298684709874416,1.0,True
core_leveraged,ANEL,ANET,0.0018202432394330307,0.002696656651011897,479.0,167.0,0.20334282549700275,0.0887443104036533,0.8019667807461056,0.004648294198728545,0.005126517552564904,-0.0033062743131318734,1.0,True
core_leveraged,PLTA,PLTR,0.0018030746894898526,0.002671221762207189,479.0,163.0,0.19870631293761246,0.08610584748376116,0.8076943849984216,0.004674833581594136,0.004769462739437125,-0.0029663880499472724,1.0,True
core_leveraged,VRTL,VRT,0.0017250785172577107,0.0025556718774188305,479.0,279.0,0.2146839526716932,0.10423885404794875,0.7208385406897251,0.004268142425676151,0.004368880351359766,-0.0026438018341020555,1.0,True
core_leveraged,BITX,IBIT,0.0016857842190876097,0.002497458102352014,479.0,500.0,0.17014358798308754,0.07301989067273439,0.8155347158896349,0.004711101557911335,0.007320557578537239,-0.005634773359449629,1.0,True
core_leveraged,ORCX,ORCL,0.0016829740411180283,0.0024932948757304123,479.0,310.0,0.200163834554476,0.09508823905846936,0.7367613785653201,0.004343401586163826,0.004725415910459693,-0.0030424418693416645,1.0,True
core_leveraged,PONX,PONY,0.0016547974736661612,0.002451551812838757,336.0,164.0,0.25843231683278156,0.15400084477392045,0.5873429527237969,0.00362311328872003,0.0021031389688844107,-0.00044834149521824954,1.0,True
core_leveraged,GDXU,GDX,0.0016534012073306657,0.0024494832701195046,479.0,500.0,0.260126091716469,0.1568931970124009,0.5802936891748594,0.00358828378164694,0.0030602925000082952,-0.0014068912926776295,1.0,True
core_leveraged,BULX,BULL,0.001644388175602159,0.0024361306305217168,479.0,168.0,0.2172997566014307,0.11299016383936347,0.6731109348476292,0.004040525210125817,0.004098248936002957,-0.0024538607604007983,1.0,True
core_leveraged,TSLI,TSLA,0.0016246038635799294,0.0024068205386369324,479.0,163.0,0.17409170052649786,0.07887838317786133,0.7724815434778836,0.004511064051840261,0.00593075491483997,-0.004306151051260041,1.0,True
core_leveraged,URAA,URA,0.0015932458723325862,0.002360364255307535,479.0,465.0,0.19805976663712183,0.09998019130362101,0.6933465261381432,0.004137412091310433,0.004671237486529833,-0.0030779916141972464,1.0,True
core_leveraged,LRCU,LRCX,0.0015662167547308876,0.0023203211181198335,479.0,178.0,0.20744252911473804,0.11017989776695261,0.658966714089069,0.003972457746690078,0.0035303080068394203,-0.0019640912521085327,1.0,True
core_leveraged,GEVX,GEV,0.001564487722867853,0.0023177595894338563,479.0,205.0,0.1998093436417371,0.10390480058293844,0.6730513882155632,0.004040239252154706,0.004715575450326519,-0.0031510877274586657,1.0,True
core_leveraged,NVOX,NVO,0.001511261966174045,0.0022389066165541404,479.0,354.0,0.18267019836602383,0.09338265935915321,0.6846514103032082,0.004095850626991363,0.005432863212036966,-0.0039216012458629206,1.0,True
core_leveraged,GLGG,GLXY,0.0014682367117777682,0.002175165498930027,221.0,176.0,0.2348137904547702,0.14851916605255377,0.5533617568933042,0.003454425392475531,0.0016424229678714724,-0.0001741862560937042,0.876984126984127,True
core_leveraged,AVGG,AVGO,0.0014658834681287028,0.0021716792120425226,479.0,242.0,0.16746161376137908,0.08392187245474092,0.698406304603033,0.0041615491196039045,0.005199966150187638,-0.003734082682058935,1.0,True
core_leveraged,TSLL,TSLA,0.0014606181319160362,0.002163878713949683,479.0,500.0,0.15637708752792445,0.07559891474630548,0.7239783906745607,0.0042830090000124145,0.005421548297594393,-0.003960930165678356,1.0,True
core_leveraged,BTCL,IBIT,0.0014219606190482485,0.0021066083245159235,479.0,456.0,0.15507177613779183,0.07751286519746291,0.700207914001915,0.004170135014546914,0.006319809241899369,-0.00489784862285112,1.0,True
core_leveraged,BITU,IBIT,0.0014066424930604992,0.0020839148045340727,479.0,500.0,0.1479567374364543,0.07301989067273439,0.7091883817637028,0.004212867438517632,0.006336602297311373,-0.004929959804250874,1.0,True
core_leveraged,OPEX,OPEN,0.0013940486331112372,0.0020652572342388697,479.0,132.0,0.2547997840423162,0.1852817030371645,0.4813207292083374,0.0030896988907105306,0.0015446782485151332,-0.00015062961540389603,1.0,True
core_leveraged,CVNX,CVNA,0.0013937524828760285,0.0020648184931496717,479.0,234.0,0.19555226869734005,0.11521298963844212,0.5940588318978239,0.003656217893029951,0.0038055422700816596,-0.002411789787205631,1.0,True
core_leveraged,TSLR,TSLA,0.0013434910481319308,0.001990357108343601,479.0,500.0,0.14658433862851117,0.07571959264840206,0.677559357169384,0.004061873388382986,0.005045873757420525,-0.003702382709288594,1.0,True
core_leveraged,DKNX,DKNG,0.0012440368236034981,0.0018430175164496267,479.0,191.0,0.16882059173711345,0.10438803843026835,0.566034269792896,0.003517569482144557,0.004960437873756586,-0.0037164010501530877,1.0,True
core_leveraged,AVL,AVGO,0.001219134499132765,0.0018061251839003925,479.0,391.0,0.1413311508968339,0.08068106665188655,0.6131042246543627,0.0037496950640851638,0.0045185443422463036,-0.0032994098431135387,1.0,True
core_leveraged,UBRL,UBER,0.0011909048240135948,0.0017643034429831032,479.0,417.0,0.12896400361796495,0.07301989067273439,0.618152134308002,0.0037743728764828054,0.006280222937146822,-0.005089318113133227,1.0,True
core_leveraged,VSTL,VST,0.001131875141355521,0.0016768520612674385,479.0,198.0,0.1367799712877494,0.08397066339014514,0.5701156572776428,0.0035378456283380205,0.0038414065435925376,-0.0027095314022370165,1.0,True
