symbol,underlying,realized_pnl,fifo_realized,commissions,n_trades,unrealized_pnl,position,markPrice,positionValue,subCategory,cash_pnl,dividends,borrow_fees,taxes,corp_actions,n_cash_rows,net_pnl,pair_label
PLTU,PLTR,0.0,0.0,0.0,0.0,323.603825,-16.0,52.19,-835.04,ETF,0.0,0.0,0.0,0.0,0.0,0.0,323.603825,PLTR / PLTU
PLTR,PLTR,0.0,0.0,0.0,0.0,-2154.500337,102.0,151.86,15489.72,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,-2154.500337,PLTR / PLTR
PYPY,PYPL,0.0,0.0,0.0,0.0,315.896274,-105.0,36.76,-3859.8,ETF,0.0,0.0,0.0,0.0,0.0,0.0,315.896274,PYPL / PYPY
PYPL,PYPL,0.0,0.0,0.0,0.0,-304.669828,73.0,53.11,3877.03,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,-304.669828,PYPL / PYPL
QCMU,QCOM,0.0,0.0,0.0,0.0,310.023379,-126.0,21.0638,-2654.04,ETF,0.0,0.0,0.0,0.0,0.0,0.0,310.023379,QCOM / QCMU
QCOM,QCOM,0.0,0.0,0.0,0.0,-313.801128,36.0,152.22,5479.92,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,-313.801128,QCOM / QCOM
QQQ,QQQ,0.0,0.0,0.0,0.0,315.098135,36.0,629.43,22659.48,ETF,0.0,0.0,0.0,0.0,0.0,0.0,315.098135,QQQ / QQQ
QQQX,QQQ,0.0,0.0,0.0,0.0,16.058924,-146.0,28.26,-4125.96,CLOSED-END FUND,0.0,0.0,0.0,0.0,0.0,0.0,16.058924,QQQ / QQQX
QYLD,QQQ,0.0,0.0,0.0,0.0,-19.623481,-234.0,17.85,-4176.9,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-19.623481,QQQ / QYLD
QYLG,QQQ,0.0,0.0,0.0,0.0,-35.242622,-151.0,27.695,-4181.95,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-35.242622,QQQ / QYLG
