symbol,underlying,realized_pnl,fifo_realized,commissions,n_trades,unrealized_pnl,position,markPrice,positionValue,subCategory,cash_pnl,dividends,borrow_fees,taxes,corp_actions,n_cash_rows,net_pnl
FBL,META,0.0,0.0,0.0,0.0,-808.787646,-85.0,39.79,-3382.15,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-808.787646
FBY,META,0.0,0.0,0.0,0.0,-420.412774,-335.0,13.48,-4515.8,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-420.412774
FBYY,META,0.0,0.0,0.0,0.0,-26.910747,-62.0,18.855,-1169.01,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-26.910747
GGLL,GOOGL,0.0,0.0,0.0,0.0,-204.775382,-26.0,111.77,-2906.02,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-204.775382
GOOGL,GOOGL,0.0,0.0,0.0,0.0,270.827366,29.0,338.25,9809.25,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,270.827366
GOOY,GOOGL,0.0,0.0,0.0,0.0,-78.2962,-279.0,15.08,-4207.32,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-78.2962
GS,GS,0.0,0.0,0.0,0.0,92.887486,6.0,940.12,5640.72,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,92.887486
GSX,GS,0.0,0.0,0.0,0.0,-82.019294,-84.0,34.02,-2857.68,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-82.019294
GXRP,GXRP,0.0,0.0,0.0,0.0,-497.254628,148.0,34.96,5174.08,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-497.254628
HOOD,HOOD,0.0,0.0,0.0,0.0,-807.050995,76.0,101.24,7694.24,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,-807.050995
HOOW,HOOD,0.0,0.0,0.0,0.0,548.627766,-95.0,39.5,-3752.5,ETF,0.0,0.0,0.0,0.0,0.0,0.0,548.627766
HOOY,HOOD,0.0,0.0,0.0,0.0,395.200756,-93.0,41.5,-3859.5,ETF,0.0,0.0,0.0,0.0,0.0,0.0,395.200756
IBIT,IBIT,0.0,0.0,0.0,0.0,-2023.026901,435.0,47.6,20706.0,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-2023.026901
INTC,INTC,0.0,0.0,0.0,0.0,325.697386,123.0,48.66,5985.18,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,325.697386
INTW,INTC,0.0,0.0,0.0,0.0,-262.257074,-48.0,67.64,-3246.72,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-262.257074
