symbol,target_net_usd,actual_net_usd,discrepancy_usd,abs_discrepancy_usd,target_gross_usd,actual_gross_usd,gross_gap_usd,under_exposed
INTW,-1545.2118921506758,-2515.44,-970.2281078493243,970.2281078493243,1545.2118921506758,2515.44,970.2281078493243,False
DLLL,-754.1912966146094,-1708.92,-954.7287033853906,954.7287033853906,754.1912966146094,1708.92,954.7287033853906,False
BAIG,-4248.289499866718,-3299.5170000000003,948.7724998667177,948.7724998667177,4248.289499866718,3299.5170000000003,-948.7724998667177,True
DAMD,-478.38026744477423,-1411.58,-933.1997325552256,933.1997325552256,478.38026744477423,1411.58,933.1997325552256,False
ONDL,-3034.5983912442207,-3948.0,-913.4016087557793,913.4016087557793,3034.5983912442207,3948.0,913.4016087557793,False
PLUL,-2953.7892150702432,-2057.4982999999997,896.2909150702435,896.2909150702435,2953.7892150702432,2057.4982999999997,-896.2909150702435,True
FCXG,0.0,-854.1504,-854.1504,854.1504,0.0,854.1504,854.1504,False
CIFG,-6499.715741565968,-5647.857599999999,851.8581415659683,851.8581415659683,6499.715741565968,5647.857599999999,-851.8581415659683,True
WULX,-5198.884313261974,-6031.9,-833.0156867380256,833.0156867380256,5198.884313261974,6031.9,833.0156867380256,False
ALBG,-275.9251816700853,-1099.4184,-823.4932183299147,823.4932183299147,275.9251816700853,1099.4184,823.4932183299147,False
RIOX,-946.6242841981332,-1767.69,-821.0657158018669,821.0657158018669,946.6242841981332,1767.69,821.0657158018669,False
ARCX,-1410.554984494299,-2228.4132,-817.8582155057009,817.8582155057009,1410.554984494299,2228.4132,817.8582155057009,False
APHU,-108.71161305341376,-916.41,-807.6983869465862,807.6983869465862,108.71161305341376,916.41,807.6983869465862,False
CCUP,-1919.613770056616,-2726.4,-806.7862299433841,806.7862299433841,1919.613770056616,2726.4,806.7862299433841,False
MULL,-1363.234158619903,-2146.42,-783.1858413800971,783.1858413800971,1363.234158619903,2146.42,783.1858413800971,False
SOLT,-1660.7926882405875,-2395.5,-734.7073117594125,734.7073117594125,1660.7926882405875,2395.5,734.7073117594125,False
HOOX,-801.6718459075018,-1528.6480000000001,-726.9761540924983,726.9761540924983,801.6718459075018,1528.6480000000001,726.9761540924983,False
ASMU,-246.66383739553217,-942.31,-695.6461626044678,695.6461626044678,246.66383739553217,942.31,695.6461626044678,False
LEUX,-2165.4193127295403,-1470.0,695.4193127295403,695.4193127295403,2165.4193127295403,1470.0,-695.4193127295403,True
TERG,-1483.4577657062407,-2178.6059999999998,-695.1482342937591,695.1482342937591,1483.4577657062407,2178.6059999999998,695.1482342937591,False
