underlying,etf,beta,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl
COIN,CONI,-1.924088,1.7525375870233817,-49.77563379236981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.02309620534643
CRCL,CRCD,-2.013483,165.29570179768962,-328.33624820522255,0.0,0.0,0.0,-32.94,9.673205875283125,0.0,0.0,-186.3073405322499
AXON,AXUP,-1.0,-233.916935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-233.916935
DASH,DASX,-1.0,-234.890501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-234.890501
MSTR,MSTZ,-2.002662,21.265150320372523,-274.67341643195306,0.0,0.0,0.0,-3.18,5.268731341530226,0.0,0.0,-251.31953477005032
MSTR,MSDD,-1.991426,21.265150320372523,-318.35828843195304,0.0,0.0,0.0,-2.51,5.959496860868501,0.0,0.0,-293.643641250712
CELH,CELT,-1.0,-792.729404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-792.729404
QBTS,QBTZ,-1.99558,0.0,-2067.662338908871,0.0,0.0,0.0,-12.37,30.29633639768393,0.0,0.0,-2049.7360025111866
CRWV,CORD,-2.007641,2.6131555992286994,-2478.3516630434906,0.0,0.0,0.0,-32.9,29.64781251657029,0.0,0.0,-2478.9906949276915
IREN,IREZ,-2.004458,0.0,-3819.8358984049214,0.0,0.0,0.0,-76.13,36.78377293751143,0.0,0.0,-3859.18212546741
SMR,SMZ,-1.995586,-5572.316729374582,-4272.253610853905,0.0,0.0,0.0,-37.12,40.21901679894713,0.0,0.0,-9841.47132342954
