ETF,Underlying,Beta,Beta_n_obs,Beta_source,borrow_fee_annual,borrow_rebate_annual,borrow_net_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,protected,cagr_positive,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,include_for_algo,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_underlying_annual,vol_etf_annual,gross_decay_annual,net_decay_annual
RYLD,IWM,0.566629,499,ols,0.067026,-0.030726,0.097752,450000,0.097752,False,False,False,,False,True,False,False,False,True,True,False,False,0.215122,0.14031,-0.012919,-0.110671
ABNY,ABNB,0.793143,421,ols,,,,0,,False,True,False,,False,True,False,False,False,False,True,True,False,0.35627,0.309088,0.046605,
AIYY,AI,0.770939,499,ols,0.093209,-0.056909,0.150118,400000,0.150118,False,False,False,,False,True,False,False,False,False,True,False,False,0.645127,0.512061,0.20343,0.053312
AMDY,AMD,0.803703,499,ols,0.033475000000000005,0.002825,0.030650000000000004,100000,0.030650000000000004,False,False,False,,True,False,False,False,True,False,False,False,False,0.555154,0.453732,0.02051,-0.010140000000000003
AMZY,AMZN,0.765602,499,ols,0.035179,0.001121,0.034058000000000005,700000,0.034058000000000005,False,False,False,,True,False,False,False,True,False,False,False,False,0.315861,0.249148,-0.009167,-0.043225000000000006
APLY,AAPL,0.780336,499,ols,0.131309,-0.095009,0.22631800000000002,1000,0.22631800000000002,False,False,False,,False,True,False,False,False,False,True,False,False,0.285389,0.23357,0.049475,-0.17684300000000003
BABO,BABA,0.768118,390,ols,0.049991,-0.013691,0.063682,25000,0.063682,False,False,False,,True,False,False,False,True,False,False,False,False,0.439242,0.368306,0.082646,0.018963999999999995
BRKC,BRK-B,0.799806,184,ols,0.031198,0.005102,0.026096,99,0.026096,False,False,False,,True,False,False,False,True,False,False,True,False,0.171159,0.124302,0.025109,-0.0009870000000000018
CONY,COIN,0.765737,499,ols,0.104267,-0.067967,0.172234,250000,0.172234,False,False,False,,False,True,False,False,False,False,True,False,False,0.795909,0.622891,0.14517,-0.027064000000000005
CRCO,CRCL,0.823057,104,ols,0.238957,-0.20265699999999998,0.44161399999999995,700,0.44161399999999995,False,False,False,,False,True,False,False,False,False,True,True,False,1.212339,0.852242,0.118199,-0.32341499999999995
CVNY,CVNA,0.809452,270,ols,0.16142399999999998,-0.12512399999999999,0.28654799999999997,150000,0.28654799999999997,False,False,False,,False,True,False,False,False,False,True,False,False,0.709818,0.602652,0.030413,-0.25613499999999995
DISO,DIS,0.754393,499,ols,0.178689,-0.142389,0.321078,400000,0.321078,False,False,False,,False,True,False,False,False,False,True,False,False,0.277109,0.220671,-0.005857,-0.326935
DRAY,DKNG,0.826676,158,ols,0.119151,-0.082851,0.20200200000000001,250000,0.20200200000000001,False,False,False,,False,True,False,False,False,False,True,False,False,0.476813,0.406118,0.079568,-0.12243400000000002
FBY,META,0.780851,499,ols,0.019842,0.016458,0.003383999999999998,700000,0.003383999999999998,False,False,False,,True,False,False,False,True,False,False,False,False,0.35365,0.286706,0.029851,0.026467
GMEY,GME,0.632063,119,ols,0.041334,-0.005033999999999999,0.046368,45000,0.046368,False,False,False,,True,False,False,False,True,False,False,False,False,1.128606,0.266419,0.200051,0.15368300000000001
GOOY,GOOGL,0.740729,499,ols,0.031605,0.0046949999999999995,0.026910000000000003,400000,0.026910000000000003,False,False,False,,True,False,False,False,True,False,False,False,False,0.298219,0.230808,-0.000971,-0.027881000000000003
HIYY,HIMS,0.879104,109,ols,0.071361,-0.035061,0.10642199999999999,350000,0.10642199999999999,False,False,False,,False,True,False,False,False,True,True,False,False,0.971127,0.639546,-0.078459,-0.184881
HOOY,HOOD,0.789498,203,ols,0.134278,-0.09797800000000001,0.23225600000000002,100000,0.23225600000000002,False,False,False,,False,True,False,False,False,False,True,False,False,0.705006,0.536306,0.148727,-0.08352900000000002
MARO,MARA,0.779838,304,ols,0.026386,0.009914,0.016472,4000,0.016472,False,False,True,,True,False,True,False,True,False,False,False,False,0.906833,0.665172,0.199006,0.18253399999999997
MRNY,MRNA,0.754119,499,ols,0.138553,-0.10225300000000001,0.24080600000000002,10000,0.24080600000000002,False,False,False,,False,True,False,False,False,False,True,False,False,0.660872,0.518961,0.246366,0.005559999999999982
MSFO,MSFT,0.780032,499,ols,0.071129,-0.034829,0.105958,400000,0.105958,False,False,False,,False,True,False,False,False,True,True,False,False,0.241441,0.198012,-0.010269,-0.116227
