underlying,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl
XPEV,143.78664600000002,9.62183300000001,0.0,0.0,0.0,-9.17,1.731152170969965,0.0,0.0,145.96963117097002
HOOD,3705.18488328,-2863.431062,0.0,0.0,-669.09,-44.08,13.803949676579043,0.0,0.0,142.3877709565786
CMG,567.93314174,-386.604235,0.0,0.0,0.0,-47.48,6.865586804269665,0.0,0.0,140.71449354426954
OPEN,-127.80801094,331.44262500000013,0.0,0.0,0.0,-115.25,31.82002187370103,0.0,0.0,120.20463593370118
QBTS,0.0,239.04064400000004,0.0,0.0,-57.03,-87.38,23.925781979939007,0.0,0.0,118.55642597993926
SPOT,82.02639431,46.98748599999999,0.0,0.0,0.0,-17.62,1.7024324877435537,0.0,0.0,113.09631279774354
CLS,-52.838314,179.5859049999999,0.0,0.0,0.0,-21.75,6.307155031711492,0.0,0.0,111.30474603171149
UUUU,0.0,131.59511500000002,0.0,0.0,0.0,-32.81,9.586571649377657,0.0,0.0,108.37168664937766
LLY,214.68161264999998,-79.25012699999999,8.65,0.0,-2.23,-37.06,1.8009781218891445,0.0,0.0,106.59246377188913
NU,-12.65884,175.36991199999989,0.0,0.0,0.0,-69.49,7.613607560521097,0.0,0.0,100.83467956052095
CSCO,146.5041246300001,0.0,49.05,0.0,-25.45,-70.69,0.0,0.0,0.0,99.41412463000006
RGTI,0.0,108.886078,0.0,0.0,0.0,-26.46,8.420064080398516,0.0,0.0,90.84614208039852
RIOT,469.363513,-367.280233,0.0,0.0,0.0,-11.95,0.0,0.0,0.0,90.13328000000001
CRWD,583.27702275,-454.58154,0.0,0.0,0.0,-41.64,2.4108122662627505,0.0,0.0,89.46629501626273
CIFR,0.0,186.31535999999994,0.0,0.0,0.0,-107.37,8.640893046050302,0.0,0.0,87.58625304605027
FXI,0.0,92.078644,0.0,0.0,-5.57,-8.85,6.462710213921482,0.0,0.0,84.12135421392148
XBI,96.87486328000003,0.0,0.0,0.0,0.0,-17.64,0.0,0.0,0.0,79.23486328000001
UBER,-60.21031285,140.061694,0.0,0.0,0.0,-9.48,8.387554180474195,0.0,0.0,78.75893533047417
ABNB,196.6515405,0.0,0.0,0.0,-99.24000000000001,-19.52,0.0,0.0,0.0,77.89154050000002
DUOL,0.0,71.30668700000001,0.0,0.0,0.0,-2.48,8.702650133586822,0.0,0.0,77.52933713358675
LRCX,0.0,87.82253599999996,0.0,0.0,0.0,-13.2,2.5624990829769385,0.0,0.0,77.18503508297692
ISRG,98.83789711999998,0.0,0.0,0.0,0.0,-22.73,0.0,0.0,0.0,76.10789711999996
U,-0.52029459,76.63789300000008,0.0,0.0,0.0,-12.54,12.308591966057756,0.0,0.0,75.88619037605781
MSFT,1128.48841178,-678.5856769999996,66.43,0.0,-285.06,-185.57,28.323117151493097,0.0,0.0,74.02585193149298
RDW,0.0,160.227215,0.0,0.0,0.0,-90.73,4.3094177739222195,0.0,0.0,73.80663277392222
SATS,0.0,114.94385199999996,0.0,0.0,0.0,-47.67,4.13688476536954,0.0,0.0,71.4107367653695
DIA,65.076929,0.0,0.0,0.0,0.0,-0.105,0.0,0.0,0.0,64.971929
GLXY,5.840784750000012,111.60548900000003,0.0,0.0,0.0,-63.4,10.764625703245782,0.0,0.0,64.81089945324584
AAPL,-615.52018524,932.4517680000001,21.84,0.0,-139.07999999999998,-152.25,16.11338341477251,0.0,0.0,63.55496617477229
TEM,-269.00750740999996,406.838396,0.0,0.0,0.0,-83.37,8.99258217377726,0.0,0.0,63.453470763777204
BA,16.50198074,159.2561380000002,0.0,0.0,-16.68,-115.55,18.972320425364643,0.0,0.0,62.500439165364924
KWEB,0.0,89.75852599999985,0.0,0.0,-29.95,-10.21,7.537725077765056,0.0,0.0,57.13625107776477
OKTA,0.0,67.524196,0.0,0.0,0.0,-25.21,2.4444357865570727,0.0,0.0,44.758631786557075
GEV,-34.533062109999996,103.35593000000017,5.0,0.0,0.0,-45.38,12.929913983721926,0.0,0.0,41.37278187372203
