underlying,symbols,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl
SNAP,"SNAG, SNAP",25.94414966,-75.52648600000003,0.0,0.0,0.0,-3.84,1.0696816797998325,0.0,0.0,-52.35265466020019
RDDT,"RDDT, RDTL, RDYY",806.4011985000001,-743.886544,0.0,0.0,-105.7,-16.62,2.0414490652621162,0.0,0.0,-57.76389643473783
UUUU,"UUUG, UUUU",0.0,-61.020708999999954,0.0,0.0,0.0,-6.11,2.1736822821345787,0.0,0.0,-64.9570267178654
F,"F, FRDU",0.0,-72.87803200000008,0.0,0.0,0.0,-9.65,3.598695262215488,0.0,0.0,-78.92933673778475
AI,"AI, AIYY",117.26935850999996,0.0,0.0,0.0,-176.57999999999998,-20.3,0.0,0.0,0.0,-79.61064148999992
TEM,"TEM, TEMT",-269.00750740999996,216.65209700000014,0.0,0.0,0.0,-35.78,4.256800740913135,0.0,0.0,-83.8786096690867
SPY,"JEPI, SPY, SPYI, XYLD, XYLG",4.239159799999989,0.0,-0.34,0.0,-64.38,-26.71,0.0,0.0,0.0,-87.19084020000001
XYZ,"XYZ, XYZG, XYZY",674.11389486,-604.5795449999999,0.0,0.0,-145.49,-12.51,1.2010117671319025,0.0,0.0,-87.26463837286815
PYPL,"PYPG, PYPL, PYPY",900.2662167999999,-905.883556,0.0,0.0,-91.03,-16.33,1.3987469626144953,0.0,0.0,-111.57859223738546
XLK,XLK,-138.53291727,0.0,0.0,0.0,0.0,-0.61,0.0,0.0,0.0,-139.14291727000003
BABA,"BABA, BABO, BABU, BABX",573.60430916,-544.7762589999998,0.0,0.0,-151.56,-22.87,5.02760926017226,0.0,0.0,-140.57434057982732
CVNA,"CVNA, CVNY",22.698600640000222,0.0,0.0,0.0,-140.7,-23.330000000000002,0.0,0.0,0.0,-141.33139935999986
DKNG,"DKNG, DKUP, DRAY",-194.62165707000005,101.990949,0.0,0.0,-38.6,-27.240000000000002,2.2391089999496767,0.0,0.0,-156.23159907005038
RBLX,"RBLU, RBLX, RBLY",751.0320812900001,-744.1317160000001,0.0,0.0,-167.32,-16.82,4.219082539135912,0.0,0.0,-173.0205521708641
ETHA,"ETHA, ETHT, ETHU, ETU",1811.5574397,-1974.175001,0.0,0.0,-7.96,-48.2,16.36645081366291,0.0,0.0,-202.4111104863373
NFLX,"NFLU, NFLW, NFLX, NFLY, NFXL",-795.56098959,943.7704849999999,0.0,0.0,-365.13,-77.86,20.37911807895579,0.0,0.0,-274.4013865110444
ASML,"ASMG, ASML, ASMU",43.05462822999999,-314.20142599999997,0.0,0.0,0.0,-20.57,5.183562170945862,0.0,0.0,-286.5332355990541
DASH,"DASH, DASX",-238.34653542,-66.679161,0.0,0.0,0.0,-13.5,5.242666981978213,0.0,0.0,-313.2830294380218
AMZN,"AMZN, AMZU, AMZW, AMZY, AMZZ, AZYY",1353.52327325,-1459.76797,0.0,0.0,-240.12,-68.38,11.125991481672326,0.0,0.0,-403.61870526832774
QQQ,"JEPQ, QQQ, QQQX, QYLD, QYLG, TQQY",-239.48196772,1.787116,0.0,0.0,-163.08,-30.21,0.10589193861101559,0.0,0.0,-430.8789597813891
CLSK,"CLSK, CLSX",-618.37814002,-32.44091,0.0,0.0,0.0,-0.35,3.7953391761701063,0.0,0.0,-647.3737108438299
IBIT,"BITU, BITX, BTCL, IBIT, XBTY",53.86837259,151.0344860000002,-0.15,0.0,-884.52,-98.14,30.667958650547664,0.0,0.0,-747.2391827594524
SMR,"SMR, SMUP",0.0,-1567.477581,0.0,0.0,0.0,-35.03,17.425922112269976,0.0,0.0,-1585.08165888773
