underlying,symbol,leg_class,net_notional_usd,gross_notional_usd,_ratio_b1,_ratio_b2,_ratio_b4
UNH,UNHG,core_levered_etf,-1115.6553088800001,1115.6553088800001,1.0,0.0,0.0
UPS,UPS,spot,106.69,106.69,1.0,0.0,0.0
UPS,UPSG,core_levered_etf,-200.9778534,200.9778534,1.0,0.0,0.0
UPST,UPST,spot,4426.49,4426.49,1.0,0.0,0.0
UPST,UPSX,core_levered_etf,-4753.50976764,4753.50976764,1.0,0.0,0.0
URA,URA,spot,2030.3999999999999,2030.3999999999999,1.0,0.0,0.0
URA,URAA,core_levered_etf,-2195.06592704,2195.06592704,1.0,0.0,0.0
USAR,USAR,spot,12268.380000000001,12268.380000000001,1.0,0.0,0.0
USAR,USGG,core_levered_etf,-12409.8683143248,12409.8683143248,1.0,0.0,0.0
UUUU,UUUU,spot,11059.539999999999,11059.539999999999,1.0,0.0,0.0
UUUU,UUUG,core_levered_etf,-11034.90659612,11034.90659612,1.0,0.0,0.0
VRT,VRT,spot,1578.55,1578.55,1.0,0.0,0.0
VRT,VRTL,core_levered_etf,-1778.14324296,1778.14324296,1.0,0.0,0.0
VST,VST,spot,1762.53,1762.53,1.0,0.0,0.0
VST,VSTL,core_levered_etf,-1821.2757390000002,1821.2757390000002,1.0,0.0,0.0
WDC,WDC,spot,6374.52,6374.52,1.0,0.0,0.0
WDC,WDCX,core_levered_etf,-6292.730970240001,6292.730970240001,1.0,0.0,0.0
WULF,WULF,spot,12703.32,12703.32,1.0,0.0,0.0
WULF,WULX,core_levered_etf,-12237.297345,12237.297345,1.0,0.0,0.0
XOP,XOP,spot,819.95,819.95,1.0,0.0,0.0
XOP,GUSH,core_levered_etf,-980.3519199600001,980.3519199600001,1.0,0.0,0.0
XPEV,XPEV,spot,1316.0,1316.0,1.0,0.0,0.0
XPEV,XPEG,core_levered_etf,-1305.6835995000001,1305.6835995000001,1.0,0.0,0.0
XRPZ,XRPZ,spot,13092.42,13092.42,1.0,0.0,0.0
XRPZ,XRPT,core_levered_etf,-3901.71764359,3901.71764359,1.0,0.0,0.0
XRPZ,UXRP,core_levered_etf,-4267.494116759999,4267.494116759999,1.0,0.0,0.0
XRPZ,XXRP,core_levered_etf,-4521.1878074999995,4521.1878074999995,1.0,0.0,0.0
XYZ,XYZ,spot,1438.68,1438.68,1.0,0.0,0.0
XYZ,XYZG,core_levered_etf,-1570.0038235605,1570.0038235605,1.0,0.0,0.0
ZETA,ZETA,spot,3364.83,3364.83,1.0,0.0,0.0
ZETA,ZETX,core_levered_etf,-3788.7479157000002,3788.7479157000002,1.0,0.0,0.0
