ETF,Underlying,Beta,Beta_n_obs,Beta_source,borrow_fee_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,borrow_price_ref,borrow_current_raw_annual,borrow_floor_factor,protected,cagr_positive,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short
GLXU,GLXY,2.010231,167,ols,0.10022600000000001,65000,0.10022600000000001,False,False,6.539999961853027,0.10022600000000001,1.0,False,,True,False,False,False,False,False,False,False,1.849326,1.062942,0.899055,0.820747,0.981249,0.962716,0.881023,0.50255775,0.6030693,0.50255775,0.6030693
AFRU,AFRM,1.954369,141,ols,0.148712,100,0.148712,False,False,5.420000076293945,0.148712,1.0,False,,True,False,False,False,False,False,True,False,1.202297,0.63067,0.753991,0.530182,0.586407,0.48195799999999994,0.437695,0.48859225,0.5863107,0.5,0.5863107
KTUP,KTOS,2.029926,141,ols,0.190547,3000,0.190547,False,False,14.329999923706055,0.190547,1.0,False,,True,False,False,False,False,False,False,False,1.577097,0.795037,0.572406,0.342503,0.595707,0.60449,0.40515999999999996,0.5074815,0.6089778,0.5074815,0.6089778
TTDU,TTD,1.996582,140,ols,0.138365,40000,0.138365,False,False,3.9800000190734863,0.138365,1.0,False,,True,False,False,False,False,False,False,False,1.014051,0.517225,0.623556,0.386831,0.459272,0.3788600000000001,0.32090700000000005,0.4991455,0.5989746,0.5,0.5989746
BMNU,BMNR,1.949249,133,ols,0.23497900000000002,600000,0.23735252296609088,False,False,1.9800000190734863,0.23497900000000002,1.0101010003706326,False,,True,False,False,False,False,False,False,False,2.043352,1.616277,1.055439,1.030585,1.3397,1.378924477033909,1.102347477033909,0.48731225,0.5847747,0.5,0.5847747
SBTU,SBET,2.023981,116,ols,0.08632999999999999,8000,0.08632999999999999,False,False,3.109999895095825,0.08632999999999999,1.0,False,,True,False,False,False,False,False,False,False,1.726432,0.831263,0.852988,0.75397,0.789549,0.744933,0.7032189999999999,0.50599525,0.6071943,0.50599525,0.6071943
CIFU,CIFR,1.987374,93,ols,0.314839,25000,0.314839,False,False,19.1299991607666,0.314839,1.0,False,,True,False,False,False,False,False,False,False,2.089476,1.293872,1.11797,1.226286,1.251228,0.9790329999999999,0.936389,0.4968435,0.5962122,0.5,0.5962122
SOLX,GSOL,1.971136,86,ols,0.047605,15000,0.047605,False,False,9.085000038146973,0.047605,1.0,False,,True,False,False,False,False,False,False,False,1.524788,0.767938,1.125576,1.212596,1.060848,0.720333,1.0132430000000001,0.492784,0.5913408,0.5,0.5913408
XRPK,XRPZ,1.956786,86,ols,0.109787,5000,0.109787,False,False,7.999000072479248,0.109787,1.0,False,,True,False,False,False,False,False,False,False,1.593509,1.007162,0.80793,0.611048,0.74623,0.8973749999999999,0.636443,0.4891965,0.5870358,0.5,0.5870358
XRPT,XRPZ,2.016127,92,ols,0.076986,900,0.076986,False,False,40.83700180053711,0.076986,1.0,False,,True,False,False,False,False,False,True,False,1.580437,0.880983,0.80793,0.668626,0.746153,0.803997,0.669167,0.50403175,0.6048380999999999,0.50403175,0.6048380999999999
CHNU,CHNL,2.013738,5,ols_short_history,0.0025,200,0.0025,False,False,20.670000076293945,0.0025,1.0,False,,True,False,False,False,False,False,True,False,1.138995,,0.565586,0.32651,0.32651,,0.32401,0.5034345,0.6041214,0.5034345,0.6041214
CRDX,CRDD,2.007274,5,ols_short_history,1.112453,35000,1.112453,False,False,22.440000534057617,1.112453,1.0,False,,False,True,False,False,False,True,False,False,1.13875,,0.567293,0.325341,0.325341,,-0.7871119999999999,0.5018185,0.6021821999999999,0.5018185,0.6021821999999999
STLU,STLR,1.205887,5,ols_short_history,,35000,,False,False,17.1200008392334,,1.0,False,,False,False,False,False,False,False,False,False,0.965002,,0.381287,0.018047,0.018047,,0.018047,0.30147175,0.3617661,0.5,0.5
GMEU,GME,1.965003,240,ols,0.206718,10000,0.206718,False,False,9.970000267028809,0.206718,1.0,False,,True,False,False,False,False,False,False,False,0.881571,0.601654,0.441391,0.184718,0.5818,0.394936,0.37508199999999997,0.49125075,0.5895009,0.5,0.5895009
APLX,APLD,1.994418,146,ols,0.155712,10000,0.155712,False,False,12.350000381469727,0.155712,1.0,False,,True,False,False,False,False,False,False,False,2.198992,1.369016,1.324578,1.739844,1.524999,1.213304,1.369287,0.4986045,0.5983254,0.5,0.5983254
APPX,APP,1.986837,239,ols,0.044900999999999996,200000,0.044900999999999996,False,False,24.600000381469727,0.044900999999999996,1.0,False,,True,False,False,False,False,False,False,False,1.421055,0.656096,0.823027,0.664058,0.656507,0.611195,0.611606,0.49670925,0.5960511,0.5,0.5960511
ARCX,ACHR,1.983024,208,ols,0.142541,20000,0.142541,False,False,15.449999809265137,0.142541,1.0,False,,True,False,False,False,False,False,False,False,1.443943,0.680899,0.874494,0.745377,0.692157,0.538358,0.549616,0.495756,0.5949072,0.5,0.5949072
