ETF,Underlying,Delta,Delta_n_obs,Delta_source,borrow_fee_annual,borrow_rebate_annual,borrow_net_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,protected,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,include_for_algo,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_underlying_annual,vol_etf_annual,gross_decay_annual,net_decay_annual,net_edge_p50_annual,edge_used_for_prod_replay,blended_gross_decay,borrow_annual,strategy_tag,long_usd,short_usd,underlying_target_usd,etf_target_usd,underlying_target_from_b12_usd,underlying_target_from_b4_usd,underlying_internalized_usd,underlying_external_trade_usd,sleeve,b1_trend_xsec_pctile,b1_trend_multiplier,optimal_gross_target_usd,optimal_long_usd,optimal_short_usd,optimal_underlying_target_usd,optimal_etf_target_usd,model_gross_target_usd,model_long_usd,model_short_usd,execution_policy,purgatory_reason,gross_target_usd,pair_override_gross_mult,pair_override_hedge_add,pair_override_note,ratchet_released,ratchet_trim_lambda,ratchet_trim_usd,optimal_binding_cap,binding_cap,liquidity_gap_usd,executable_pct_of_optimal,reduce_only,keep_open,hard_exit,_plan_date
FCXG,FCX,2.150884,8,ols_short_history,0.097501,-0.061101,0.158602,100,0.158602,False,False,False,False,True,False,False,False,False,True,True,False,0.439978,1.278802,0.289073,0.130471,0.130471,net_decay_annual,,0.158602,ETF_LS,39360.7209565636,-18299.787880965967,39360.7209565636,-18299.787880965967,39360.7209565636,0.0,-0.0,39360.7209565636,core_leveraged,0.5,1.0,57660.50883752957,39360.7209565636,-18299.787880965967,39360.7209565636,-18299.787880965967,57660.50883752957,39360.7209565636,-18299.787880965967,normal,no_locate,57660.50883752957,1.0,0.0,,False,0.0,0.0,haircut,haircut,0.0,1.0,False,False,False,2026-03-03
BITX,IBIT,2.001767,500,ols,0.046623,-0.010223,0.0568459999999999,1100000,0.0568459999999999,False,False,False,True,False,False,False,True,False,False,False,False,0.513481,1.028409,0.20489,0.148044,0.148044,net_decay_annual,,0.0568459999999999,ETF_LS,79979.48320798494,-39954.44185461392,79979.48320798494,-39954.44185461392,139066.09670253858,0.0,-0.0,139066.09670253858,core_leveraged,0.5,1.0,119933.92506259888,79979.48320798494,-39954.44185461392,79979.48320798494,-39954.44185461392,119933.92506259888,79979.48320798494,-39954.44185461392,normal,,119933.92506259888,1.0,0.0,,False,0.0,0.0,haircut,haircut,0.0,1.0,False,False,False,2026-03-03
ETHU,ETHA,2.001065,403,ols,0.033433,0.002967,0.030466,450000,0.030466,False,False,False,True,False,False,False,True,False,False,False,False,0.754895,1.484019,0.212159,0.181693,0.181693,net_decay_annual,,0.030466,ETF_LS,126722.74161804226,-63327.64883601595,126722.74161804226,-63327.64883601595,195483.3921928935,0.0,-0.0,195483.3921928935,core_leveraged,0.5,1.0,190050.39045405824,126722.74161804226,-63327.64883601595,126722.74161804226,-63327.64883601595,190050.39045405824,126722.74161804226,-63327.64883601595,normal,,190050.39045405824,1.0,0.0,,False,0.0,0.0,haircut,haircut,0.0,1.0,False,False,False,2026-03-03
BMNG,BMNR,1.995132,86,ols,0.1174709999999999,-0.081071,0.198542,300000,0.198542,False,False,False,False,True,False,False,False,False,True,False,False,8.364403,2.227684,0.338136,0.139594,0.139594,net_decay_annual,,0.198542,ETF_LS,39964.11573373387,-20030.81286538127,39964.11573373387,-20030.81286538127,282047.5422180624,0.0,-0.0,282047.5422180624,core_leveraged,0.5,1.0,59994.928599115134,39964.11573373387,-20030.81286538127,39964.11573373387,-20030.81286538127,59994.928599115134,39964.11573373387,-20030.81286538127,normal,,59994.928599115134,1.0,0.0,,False,0.0,0.0,haircut,haircut,0.0,1.0,False,False,False,2026-03-03
BULG,BULL,1.982542,140,ols,0.092191,-0.055791,0.147982,45000,0.147982,False,False,False,False,True,False,False,False,False,True,False,False,2.737706,1.156702,0.290761,0.142779,0.142779,net_decay_annual,,0.147982,ETF_LS,53207.12829777892,-26837.83158075789,53207.12829777892,-26837.83158075789,97051.01450799814,0.0,-0.0,97051.01450799814,core_leveraged,0.5,1.0,80044.9598785368,53207.12829777892,-26837.83158075789,53207.12829777892,-26837.83158075789,80044.9598785368,53207.12829777892,-26837.83158075789,normal,,80044.9598785368,1.0,0.0,,False,0.0,0.0,haircut,haircut,0.0,1.0,False,False,False,2026-03-03
COTG,COST,1.982923,113,ols,0.0644489999999999,-0.028049,0.092498,20000,0.092498,False,False,False,False,True,False,False,False,True,True,False,False,0.209404,0.399233,0.132057,0.039559,0.039559,net_decay_annual,,0.092498,ETF_LS,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,core_leveraged,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,reduce_only,,0.0,,,,False,0.0,0.0,none,none,0.0,1.0,True,False,False,2026-03-03
FIGG,FIG,1.993891,95,ols,0.007743,0.028657,0.0,550000,0.0,False,False,False,True,False,False,False,True,False,False,False,False,0.898124,1.343113,0.185313,0.185313,0.185313,net_decay_annual,,0.0,ETF_LS,141593.7480511341,-71013.78563378545,141593.7480511341,-71013.78563378545,141593.7480511341,0.0,-0.0,141593.7480511341,core_leveraged,0.5,1.0,212607.53368491956,141593.7480511341,-71013.78563378545,141593.7480511341,-71013.78563378545,212607.53368491956,141593.7480511341,-71013.78563378545,normal,,212607.53368491956,1.0,0.0,,False,0.0,0.0,haircut,haircut,0.0,1.0,False,False,False,2026-03-03
NBIG,NBIS,2.007915,86,ols,0.067038,-0.030638,0.097676,250000,0.097676,False,False,False,False,True,False,False,False,True,True,False,False,1.111757,1.862635,0.143617,0.0459409999999999,0.0459409999999999,net_decay_annual,,0.097676,ETF_LS,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,core_leveraged,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,reduce_only,,0.0,,,,False,0.0,0.0,none,none,0.0,1.0,True,False,False,2026-03-03
OPEG,OPEN,2.005398,54,ols,0.067059,-0.030659,0.097718,15000,0.097718,False,False,False,False,True,False,False,False,True,True,False,False,1.299878,1.668733,0.108916,0.011198,0.011198,net_decay_annual,,0.097718,ETF_LS,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,core_leveraged,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,reduce_only,,0.0,,,,False,0.0,0.0,none,none,0.0,1.0,True,False,False,2026-03-03
PANG,PANW,1.99708,237,ols,0.072256,-0.035856,0.108112,6000,0.108112,False,False,False,False,True,False,False,False,True,True,False,False,0.340716,0.72851,0.130476,0.022364,0.022364,net_decay_annual,,0.108112,ETF_LS,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,core_leveraged,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,reduce_only,,0.0,,,,False,0.0,0.0,none,none,0.0,1.0,True,False,False,2026-03-03
