symbol,underlying,bucket,leg_class,total_pnl
LCID,LCID,bucket_1,spot,-117.595365
LEU,LEU,bucket_1,spot,-624.87406
LITE,LITE,bucket_1,spot,678.054143
LLY,LLY,bucket_1,spot,-414.18037100000004
LMT,LMT,bucket_1,spot,631.13687991
LRCX,LRCX,bucket_1,spot,349.560743
LUNR,LUNR,bucket_1,spot,92.312619
MDB,MDB,bucket_1,spot,-2911.072671
META,META,bucket_1,spot,261.62767970852
MP,MP,bucket_1,spot,397.80936225000005
MRNA,MRNA,bucket_1,spot,852.43564
MRVL,MRVL,bucket_1,spot,10128.228396
MSFT,MSFT,bucket_1,spot,-1275.8529509999998
MSTR,MSTR,bucket_1,spot,132.72119158137514
MU,MU,bucket_1,spot,1556.053311
NBIS,NBIS,bucket_1,spot,5822.48569
NEM,NEM,bucket_1,spot,-255.404956
NET,NET,bucket_1,spot,-18.017257
NFLX,NFLX,bucket_1,spot,2505.7110433800003
NIO,NIO,bucket_1,spot,-26.47486
NNE,NNE,bucket_1,spot,1427.70261
NOK,NOK,bucket_1,spot,465.850366
NOW,NOW,bucket_1,spot,-293.654257
NU,NU,bucket_1,spot,-892.069955
NVDA,NVDA,bucket_1,spot,2761.0350522999997
NVTS,NVTS,bucket_1,spot,13066.35346
OKLO,OKLO,bucket_1,spot,-422.653255
OKTA,OKTA,bucket_1,spot,161.924943
ONDS,ONDS,bucket_1,spot,1529.027517
OPEN,OPEN,bucket_1,spot,-813.16869594
ORCL,ORCL,bucket_1,spot,434.416486
ORLY,ORLY,bucket_1,spot,62.169038
OSCR,OSCR,bucket_1,spot,211.543342
PAAS,PAAS,bucket_1,spot,76.09435599999999
PANW,PANW,bucket_1,spot,-84.89094899999999
PBR,PBR,bucket_1,spot,361.388758
PLTR,PLTR,bucket_1,spot,-514.2950133338162
PLUG,PLUG,bucket_1,spot,5576.029915
PONY,PONY,bucket_1,spot,911.129486
PYPL,PYPL,bucket_1,spot,-1115.46307809
QBTS,QBTS,bucket_1,spot,1239.407788
QCOM,QCOM,bucket_1,spot,-898.737664
QQQ,QQQ,bucket_1,spot,-719.85152042
QUBT,QUBT,bucket_1,spot,4927.428247
RBLX,RBLX,bucket_1,spot,-1661.59393225
RCAT,RCAT,bucket_1,spot,-2156.277059
RDDT,RDDT,bucket_1,spot,-487.79622224999997
RDW,RDW,bucket_1,spot,495.143061
RKT,RKT,bucket_1,spot,-951.305664
RTX,RTX,bucket_1,spot,-243.989257
SATS,SATS,bucket_1,spot,358.157729
SBET,SBET,bucket_1,spot,951.7891831899999
SBUX,SBUX,bucket_1,spot,1.356143
SHOP,SHOP,bucket_1,spot,20.729543
SLV,SLV,bucket_1,spot,950.289985
SMCI,SMCI,bucket_1,spot,-520.111573
SNAP,SNAP,bucket_1,spot,-9.729716000000003
SNDK,SNDK,bucket_1,spot,2348.133069
SNOW,SNOW,bucket_1,spot,-2980.245365
SNPS,SNPS,bucket_1,spot,171.105243
SOEZ,SOEZ,bucket_1,spot,-1896.633558
SOFI,SOFI,bucket_1,spot,-38.744537
SOXX,SOXX,bucket_1,spot,1479.1664010000002
SPOT,SPOT,bucket_1,spot,197.075154
SPY,SPY,bucket_1,spot,20.703943
SRPT,SRPT,bucket_1,spot,1613.953136
TEM,TEM,bucket_1,spot,-457.563047
TER,TER,bucket_1,spot,4255.053205
TSLA,TSLA,bucket_1,spot,-2753.84896891
TSM,TSM,bucket_1,spot,921.69262775
TTD,TTD,bucket_1,spot,77.73822799999999
U,U,bucket_1,spot,618.156363
UBER,UBER,bucket_1,spot,13.649338
UEC,UEC,bucket_1,spot,-807.016568
UNH,UNH,bucket_1,spot,840.317355
UPS,UPS,bucket_1,spot,-129.587099
UPST,UPST,bucket_1,spot,388.132405
URA,URA,bucket_1,spot,-78.185002
