run_date,underlying,ratio_source,prev_qty_b1,prev_qty_b2,prev_qty_b4,curr_qty_b1,curr_qty_b2,curr_qty_b4,ibkr_qty,orphan_qty,ratio_current_b1,ratio_current_b2,ratio_current_b4,ratio_realized_b1,ratio_realized_b2,ratio_realized_b4,ratio_unrealized_b1,ratio_unrealized_b2,ratio_unrealized_b4,ratio_carry_b1,ratio_carry_b2,ratio_carry_b4,plan_b4_frac,plan_b4_usd,plan_b4_qty,exposure_b4_qty_source,ledger_b2_frac,pnl_split_mode,plan_b2_usd,ratio_spot_b1,ratio_spot_b2,ratio_spot_b4,ratio_spot_source
2026-05-16,AMDG,held_exposure_eod,-203.0,0.0,0.0,-203.0,0.0,0.0,-7.0,196.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,lot_timed,0.0,1.0,0.0,0.0,ledger
2026-05-16,AMDL,held_exposure_eod,-345.0,0.0,0.0,-345.0,0.0,0.0,-25.0,320.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,lot_timed,0.0,1.0,0.0,0.0,ledger
2026-05-16,AMDY,held_exposure_eod,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,lot_timed,0.0,0.0,0.0,0.0,ledger
2026-05-16,AMUU,held_exposure_eod,-78.0,0.0,0.0,-78.0,0.0,0.0,-8.0,70.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,lot_timed,0.0,1.0,0.0,0.0,ledger
2026-05-16,AMYY,held_exposure_eod,0.0,-700.0,0.0,0.0,-700.0,0.0,-1000.0,-300.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,none,1.0,lot_timed,0.0,0.0,1.0,0.0,ledger
2026-05-16,AMZN,held_exposure,0.175522827559674,0.824477172440325,0.0,0.175522827559674,0.824477172440325,0.0,3.0,2.000000000000001,0.9710139335046162,0.028986066495383905,0.0,0.1697701536553762,0.8302298463446238,0.0,0.17552282755967416,0.8244771724403258,0.0,0.17552282755967416,0.8244771724403258,0.0,0.0,0.0,0.0,none,0.8244771724403258,lot_timed,0.0,0.17552282755967416,0.8244771724403258,0.0,ledger
2026-05-16,AMZO,held_exposure_eod,-504.0,0.0,0.0,-504.0,0.0,0.0,-504.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,lot_timed,0.0,1.0,0.0,0.0,ledger
2026-05-16,AMZU,held_exposure_eod,10.0,0.0,0.0,10.0,0.0,0.0,-1.0,-11.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,lot_timed,0.0,1.0,0.0,0.0,ledger
2026-05-16,AMZW,held_exposure_eod,0.0,12.0,0.0,0.0,12.0,0.0,0.0,-12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,none,1.0,lot_timed,0.0,0.0,0.0,0.0,ledger
2026-05-16,AMZY,held_exposure_eod,0.0,40.0,0.0,0.0,40.0,0.0,0.0,-40.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,none,1.0,lot_timed,0.0,0.0,0.0,0.0,ledger
2026-05-16,AMZZ,held_exposure_eod,-342.0,0.0,0.0,-342.0,0.0,0.0,-342.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,lot_timed,0.0,1.0,0.0,0.0,ledger
2026-05-16,ANEL,held_exposure_eod,-60.0,0.0,0.0,-60.0,0.0,0.0,-60.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,lot_timed,0.0,1.0,0.0,0.0,ledger
2026-05-16,ANET,held_exposure,0.0,13.0,0.0,0.0,13.0,0.0,13.0,0.0,0.5074858227866981,0.49251417721330193,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,none,1.0,lot_timed,0.0,0.0,1.0,0.0,ledger
2026-05-16,APH,held_exposure,0.0,3.0,0.0,0.0,3.0,0.0,3.0,0.0,0.8400183055508679,0.15998169444913213,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,none,1.0,lot_timed,0.0,0.0,1.0,0.0,ledger
2026-05-16,APHU,held_exposure_eod,-59.0,0.0,0.0,-59.0,0.0,0.0,-60.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,lot_timed,0.0,1.0,0.0,0.0,ledger
