underlying,net_notional_usd,gross_notional_usd,ratio_spot_b1,ratio_spot_b2,ratio_spot_b4,ratio_spot_source,net_bucket_1,net_bucket_2,net_bucket_4
XOP,824.8000000000001,824.8000000000001,1.0,0.0,0.0,sleeve_balance,824.8000000000001,0.0,0.0
NFLX,777.24,777.24,1.0,0.0,0.0,sleeve_balance,777.24,0.0,0.0
CRWD,671.0,671.0,0.9273899169818184,0.0,0.0,sleeve_balance,622.2786342948001,0.0,0.0
PYPL,666.9,666.9,1.0,0.0,0.0,sleeve_balance,666.9,0.0,0.0
AAPL,625.02,625.02,1.0,0.0,0.0,sleeve_balance,625.02,0.0,0.0
CMG,615.98,615.98,1.0,0.0,0.0,sleeve_balance,615.98,0.0,0.0
APH,443.04,443.04,1.0,0.0,0.0,sleeve_balance,443.04,0.0,0.0
UPS,106.67,106.67,1.0,0.0,0.0,sleeve_balance,106.67,0.0,0.0
SBUX,100.75,100.75,1.0,0.0,0.0,sleeve_balance,100.75,0.0,0.0
NU,52.2,52.2,0.6782256255172413,0.0,0.0,sleeve_balance,35.403377651999996,0.0,0.0
