underlying,spot_net_usd,shared_b1b2,b1_net_exp_usd,b2_net_exp_usd,b1_share,b2_share,b1b2_model_determined_usd,ledger_b2_spot_usd,b4_short_plan_usd,b4_short_etf_implied_usd,b4_short_chosen,b4_short_spread_usd,spot_pnl_total,spot_pnl_model_determined
APP,5998.9,False,5812.98,0.0,0.969,0.0,0.0,0.0,0.0,0.0,none,0.0,588.43,0.0
FIG,5841.54,False,5841.54,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,-2162.6,0.0
U,5389.2,False,5389.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,2355.0,0.0
TSLA,5305.2,False,5231.75,73.45,0.9862,0.0138,0.0,0.0,0.0,0.0,none,0.0,697.26,0.0
AVAV,4930.97,False,4930.97,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,377.05,0.0
SOEZ,4855.84,False,4691.82,0.0,0.9662,0.0,0.0,0.0,0.0,0.0,none,0.0,-1817.32,0.0
INTC,4835.6,False,4835.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,17567.97,0.0
UPST,4282.39,False,4282.39,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,6.51,0.0
ACHR,4664.85,False,4661.85,0.0,0.9994,0.0,0.0,0.0,0.0,0.0,none,0.0,467.16,0.0
BLSH,4656.6,False,4656.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,1229.04,0.0
UEC,4539.25,False,4539.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,-1145.7,0.0
ASTS,4525.06,False,4525.06,0.0,1.0,0.0,0.0,0.0,0.0,-12222.2,etf_implied,0.0,398.61,0.0
SRPT,4498.0,False,4412.35,0.0,0.981,0.0,0.0,0.0,0.0,0.0,none,0.0,-536.15,0.0
SNOW,4305.6,False,4305.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,-1503.09,0.0
NU,52.2,False,35.37,0.0,0.6776,0.0,0.0,0.0,0.0,0.0,none,0.0,-2537.96,0.0
