etf,underlying,pair_frac_merged
TARK,ARKK,8.73092050406255e-12
TSMG,TSM,8.628334325426639e-12
METU,META,8.579770486886235e-12
MSTU,MSTR,8.569614613385488e-12
PALU,PANW,8.540684629386005e-12
TSMU,TSM,8.50666355790233e-12
TSLG,TSLA,8.448637715874547e-12
AMZZ,AMZN,8.281337934519639e-12
PANG,PANW,8.277814593911264e-12
AVGX,AVGO,8.249098302351728e-12
NFLU,NFLX,8.089514004546742e-12
NFXL,NFLX,8.075325682360374e-12
AMZU,AMZN,8.062564129307451e-12
BOEU,BA,7.637603102188918e-12
AVGU,AVGO,7.621587905061782e-12
BOEG,BA,7.619150256667673e-12
NVDG,NVDA,7.217873719447001e-12
NVDU,NVDA,6.822208758463619e-12
NVDL,NVDA,6.755673918184979e-12
NVDB,NVDA,6.624163297782096e-12
